Sep 24, 2019  04:04:58 PM
Residual Gas Analyzer Software 
Software Version, 3.005

vacuum = 10^-5

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.78E-004 
Filament Current, 1.00, mAmps


  1.00,  -3.93E-009, 
  1.10,  -2.95E-009, 
  1.20,   6.57E-008, 
  1.30,   7.92E-007, 
  1.40,   5.36E-007, 
  1.50,   3.23E-006, 
  1.60,   7.94E-006, 
  1.70,   1.28E-005, 
  1.80,   1.57E-005, 
  1.90,   1.84E-005, 
  2.00,   1.89E-005, 
  2.10,   1.84E-005, 
  2.20,   1.74E-005, 
  2.30,   1.34E-005, 
  2.40,   3.47E-006, 
  2.50,   5.97E-008, 
  2.60,   1.50E-008, 
  2.70,   1.73E-008, 
  2.80,   2.92E-008, 
  2.90,   4.22E-008, 
  3.00,   4.61E-008, 
  3.10,   4.98E-008, 
  3.20,   4.67E-008, 
  3.30,   3.85E-008, 
  3.40,   2.06E-008, 
  3.50,   7.30E-009, 
  3.60,   3.36E-009, 
  3.70,   1.90E-009, 
  3.80,   1.30E-009, 
  3.90,   9.69E-010, 
  4.00,   8.20E-010, 
  4.10,   7.55E-010, 
  4.20,   7.11E-010, 
  4.30,   6.37E-010, 
  4.40,   2.48E-010, 
  4.50,  -5.05E-012, 
  4.60,  -8.02E-011, 
  4.70,  -1.44E-010, 
  4.80,  -2.22E-010, 
  4.90,  -2.15E-010, 
  5.00,  -2.48E-010, 
  5.10,  -2.89E-010, 
  5.20,  -2.43E-010, 
  5.30,  -2.25E-010, 
  5.40,  -3.01E-010, 
  5.50,  -2.23E-010, 
  5.60,  -1.88E-010, 
  5.70,  -2.09E-010, 
  5.80,  -1.86E-010, 
  5.90,  -2.36E-010, 
  6.00,  -2.22E-010, 
  6.10,  -1.28E-010, 
  6.20,  -1.19E-010, 
  6.30,  -1.17E-010, 
  6.40,  -1.58E-010, 
  6.50,  -1.80E-010, 
  6.60,  -1.48E-010, 
  6.70,  -1.72E-010, 
  6.80,  -1.86E-010, 
  6.90,  -1.35E-010, 
  7.00,  -1.28E-010, 
  7.10,  -1.23E-010, 
  7.20,  -7.29E-011, 
  7.30,  -8.19E-011, 
  7.40,  -3.98E-011, 
  7.50,  -2.41E-011, 
  7.60,  -2.75E-011, 
  7.70,   7.74E-011, 
  7.80,   5.72E-011, 
  7.90,  -1.57E-011, 
  8.00,   3.70E-011, 
  8.10,   5.66E-011, 
  8.20,   8.64E-011, 
  8.30,   1.24E-010, 
  8.40,   8.02E-011, 
  8.50,  -1.35E-011, 
  8.60,  -1.40E-011, 
  8.70,  -2.41E-011, 
  8.80,  -4.32E-011, 
  8.90,  -8.36E-011, 
  9.00,  -4.26E-011, 
  9.10,  -1.35E-011, 
  9.20,  -6.84E-011, 
  9.30,  -8.30E-011, 
  9.40,  -6.23E-011, 
  9.50,  -8.19E-011, 
  9.60,  -2.92E-011, 
  9.70,  -4.37E-011, 
  9.80,  -7.52E-011, 
  9.90,  -7.46E-011, 
 10.00,  -1.23E-010, 
 10.10,  -1.19E-010, 
 10.20,  -1.32E-010, 
 10.30,  -8.81E-011, 
 10.40,  -1.18E-010, 
 10.50,  -1.02E-010, 
 10.60,  -1.16E-010, 
 10.70,  -5.16E-011, 
 10.80,  -2.97E-011, 
 10.90,  -2.52E-011, 
 11.00,  -1.28E-010, 
 11.10,  -1.16E-010, 
 11.20,  -5.66E-011, 
 11.30,  -8.92E-011, 
 11.40,  -1.46E-011, 
 11.50,   2.06E-010, 
 11.60,   1.82E-009, 
 11.70,   5.04E-009, 
 11.80,   9.33E-009, 
 11.90,   1.30E-008, 
 12.00,   1.49E-008, 
 12.10,   1.49E-008, 
 12.20,   1.37E-008, 
 12.30,   1.08E-008, 
 12.40,   5.32E-009, 
 12.50,   2.66E-009, 
 12.60,   1.58E-009, 
 12.70,   1.27E-009, 
 12.80,   1.26E-009, 
 12.90,   1.39E-009, 
 13.00,   1.45E-009, 
 13.10,   1.51E-009, 
 13.20,   1.43E-009, 
 13.30,   1.19E-009, 
 13.40,   7.74E-010, 
 13.50,   5.87E-010, 
 13.60,   1.28E-009, 
 13.70,   3.11E-009, 
 13.80,   5.43E-009, 
 13.90,   7.61E-009, 
 14.00,   9.01E-009, 
 14.10,   9.41E-009, 
 14.20,   9.00E-009, 
 14.30,   7.69E-009, 
 14.40,   4.20E-009, 
 14.50,   2.38E-009, 
 14.60,   2.40E-009, 
 14.70,   4.28E-009, 
 14.80,   7.01E-009, 
 14.90,   9.67E-009, 
 15.00,   1.15E-008, 
 15.10,   1.22E-008, 
 15.20,   1.19E-008, 
 15.30,   1.08E-008, 
 15.40,   7.22E-009, 
 15.50,   9.53E-009, 
 15.60,   4.97E-008, 
 15.70,   1.21E-007, 
 15.80,   1.65E-007, 
 15.90,   1.85E-007, 
 16.00,   1.90E-007, 
 16.10,   1.80E-007, 
 16.20,   1.61E-007, 
 16.30,   1.01E-007, 
 16.40,   3.08E-008, 
 16.50,   9.71E-008, 
 16.60,   5.28E-007, 
 16.70,   9.23E-007, 
 16.80,   1.23E-006, 
 16.90,   1.37E-006, 
 17.00,   1.40E-006, 
 17.10,   1.32E-006, 
 17.20,   1.18E-006, 
 17.30,   6.17E-007, 
 17.40,   9.98E-008, 
 17.50,   4.44E-007, 
 17.60,   2.13E-006, 
 17.70,   3.66E-006, 
 17.80,   4.93E-006, 
 17.90,   5.55E-006, 
 18.00,   5.71E-006, 
 18.10,   5.45E-006, 
 18.20,   4.90E-006, 
 18.30,   2.66E-006, 
 18.40,   5.94E-008, 
 18.50,   1.29E-008, 
 18.60,   1.16E-008, 
 18.70,   2.13E-008, 
 18.80,   3.46E-008, 
 18.90,   4.47E-008, 
 19.00,   4.96E-008, 
 19.10,   4.86E-008, 
 19.20,   4.54E-008, 
 19.30,   3.55E-008, 
 19.40,   1.28E-008, 
 19.50,   5.26E-009, 
 19.60,   3.46E-009, 
 19.70,   3.67E-009, 
 19.80,   4.83E-009, 
 19.90,   6.14E-009, 
 20.00,   7.08E-009, 
 20.10,   7.38E-009, 
 20.20,   7.31E-009, 
 20.30,   6.45E-009, 
 20.40,   3.59E-009, 
 20.50,   1.77E-009, 
 20.60,   9.88E-010, 
 20.70,   5.77E-010, 
 20.80,  -2.75E-011, 
 20.90,  -6.28E-011, 
 21.00,  -2.41E-011, 
 21.10,   5.72E-011, 
 21.20,  -1.29E-011, 
 21.30,  -1.40E-011, 
 21.40,  -3.42E-011, 
 21.50,  -7.23E-011, 
 21.60,   8.58E-011, 
 21.70,   4.74E-010, 
 21.80,   8.07E-010, 
 21.90,   9.32E-010, 
 22.00,   1.09E-009, 
 22.10,   1.10E-009, 
 22.20,   1.02E-009, 
 22.30,   8.85E-010, 
 22.40,   3.91E-010, 
 22.50,  -1.18E-011, 
 22.60,  -6.11E-011, 
 22.70,  -3.03E-011, 
 22.80,  -1.12E-010, 
 22.90,  -1.06E-010, 
 23.00,  -3.81E-011, 
 23.10,  -4.88E-011, 
 23.20,  -5.61E-011, 
 23.30,  -4.26E-011, 
 23.40,  -3.53E-011, 
 23.50,  -5.05E-011, 
 23.60,  -2.97E-011, 
 23.70,  -4.21E-011, 
 23.80,   1.91E-011, 
 23.90,   2.41E-011, 
 24.00,  -6.73E-012, 
 24.10,  -1.07E-011, 
 24.20,  -3.42E-011, 
 24.30,  -4.49E-011, 
 24.40,   1.12E-012, 
 24.50,   3.03E-011, 
 24.60,   7.07E-011, 
 24.70,   5.44E-011, 
 24.80,   1.87E-010, 
 24.90,   1.67E-010, 
 25.00,   2.42E-010, 
 25.10,   2.92E-010, 
 25.20,   2.45E-010, 
 25.30,   2.27E-010, 
 25.40,   1.50E-010, 
 25.50,   1.41E-010, 
 25.60,   2.97E-010, 
 25.70,   7.98E-010, 
 25.80,   9.68E-010, 
 25.90,   1.13E-009, 
 26.00,   1.35E-009, 
 26.10,   1.48E-009, 
 26.20,   1.52E-009, 
 26.30,   1.42E-009, 
 26.40,   9.58E-010, 
 26.50,   7.18E-010, 
 26.60,   9.94E-010, 
 26.70,   1.66E-009, 
 26.80,   2.45E-009, 
 26.90,   3.42E-009, 
 27.00,   4.12E-009, 
 27.10,   4.66E-009, 
 27.20,   4.98E-009, 
 27.30,   5.08E-009, 
 27.40,   4.62E-009, 
 27.50,   9.36E-009, 
 27.60,   4.53E-008, 
 27.70,   9.56E-008, 
 27.80,   1.31E-007, 
 27.90,   1.54E-007, 
 28.00,   1.62E-007, 
 28.10,   1.57E-007, 
 28.20,   1.39E-007, 
 28.30,   9.16E-008, 
 28.40,   1.71E-008, 
 28.50,   6.59E-009, 
 28.60,   4.63E-009, 
 28.70,   4.95E-009, 
 28.80,   6.22E-009, 
 28.90,   7.74E-009, 
 29.00,   8.99E-009, 
 29.10,   9.54E-009, 
 29.20,   9.42E-009, 
 29.30,   8.30E-009, 
 29.40,   4.85E-009, 
 29.50,   3.61E-009, 
 29.60,   6.66E-009, 
 29.70,   1.24E-008, 
 29.80,   1.89E-008, 
 29.90,   2.47E-008, 
 30.00,   2.78E-008, 
 30.10,   2.81E-008, 
 30.20,   2.64E-008, 
 30.30,   2.12E-008, 
 30.40,   8.98E-009, 
 30.50,   4.13E-009, 
 30.60,   2.24E-009, 
 30.70,   1.46E-009, 
 30.80,   1.18E-009, 
 30.90,   1.19E-009, 
 31.00,   1.31E-009, 
 31.10,   1.41E-009, 
 31.20,   1.59E-009, 
 31.30,   2.10E-009, 
 31.40,   3.17E-009, 
 31.50,   9.96E-009, 
 31.60,   4.93E-008, 
 31.70,   9.39E-008, 
 31.80,   1.25E-007, 
 31.90,   1.48E-007, 
 32.00,   1.56E-007, 
 32.10,   1.52E-007, 
 32.20,   1.36E-007, 
 32.30,   8.39E-008, 
 32.40,   1.61E-008, 
 32.50,   6.05E-009, 
 32.60,   3.10E-009, 
 32.70,   1.81E-009, 
 32.80,   1.29E-009, 
 32.90,   1.09E-009, 
 33.00,   9.89E-010, 
 33.10,   9.87E-010, 
 33.20,   9.64E-010, 
 33.30,   9.05E-010, 
 33.40,   5.14E-010, 
 33.50,  -2.69E-011, 
 33.60,   1.37E-010, 
 33.70,   3.75E-010, 
 33.80,   6.76E-010, 
 33.90,   6.23E-010, 
 34.00,   6.16E-010, 
 34.10,   5.86E-010, 
 34.20,   6.02E-010, 
 34.30,   5.71E-010, 
 34.40,   1.03E-010, 
 34.50,  -1.12E-012, 
 34.60,  -6.51E-011, 
 34.70,   2.13E-011, 
 34.80,   8.19E-011, 
 34.90,   3.59E-011, 
 35.00,   6.95E-011, 
 35.10,   6.23E-011, 
 35.20,   1.78E-010, 
 35.30,   1.00E-010, 
 35.40,   1.03E-010, 
 35.50,   2.41E-011, 
 35.60,   1.09E-010, 
 35.70,   1.67E-010, 
 35.80,   1.94E-010, 
 35.90,   3.74E-010, 
 36.00,   6.42E-010, 
 36.10,   5.02E-010, 
 36.20,   4.59E-010, 
 36.30,   1.30E-010, 
 36.40,   1.51E-010, 
 36.50,   1.37E-010, 
 36.60,   6.73E-011, 
 36.70,   6.39E-011, 
 36.80,   4.54E-011, 
 36.90,   6.06E-011, 
 37.00,   1.46E-010, 
 37.10,   1.99E-010, 
 37.20,   8.19E-011, 
 37.30,   9.14E-011, 
 37.40,   7.85E-011, 
 37.50,   8.24E-011, 
 37.60,   4.66E-011, 
 37.70,  -1.01E-011, 
 37.80,   4.82E-011, 
 37.90,   1.18E-010, 
 38.00,   1.10E-010, 
 38.10,   1.15E-010, 
 38.20,   1.36E-010, 
