Sep 24, 2019  04:04:58 PM
Residual Gas Analyzer Software 
Software Version, 3.005

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.78E-004 
Filament Current, 1.00, mAmps


  1.00,  -3.93E-009, 
  1.10,  -2.95E-009, 
  1.20,   6.57E-008, 
  1.30,   7.92E-007, 
  1.40,   5.36E-007, 
  1.50,   3.23E-006, 
  1.60,   7.94E-006, 
  1.70,   1.28E-005, 
  1.80,   1.57E-005, 
  1.90,   1.84E-005, 
  2.00,   1.89E-005, 
  2.10,   1.84E-005, 
  2.20,   1.74E-005, 
  2.30,   1.34E-005, 
  2.40,   3.47E-006, 
  2.50,   5.97E-008, 
  2.60,   1.50E-008, 
  2.70,   1.73E-008, 
  2.80,   2.92E-008, 
  2.90,   4.22E-008, 
  3.00,   4.61E-008, 
  3.10,   4.98E-008, 
  3.20,   4.67E-008, 
  3.30,   3.85E-008, 
  3.40,   2.06E-008, 
  3.50,   7.30E-009, 
  3.60,   3.36E-009, 
  3.70,   1.90E-009, 
  3.80,   1.30E-009, 
  3.90,   9.69E-010, 
  4.00,   6.58E-010, 
  4.10,   6.27E-010, 
  4.20,   6.38E-010, 
  4.30,   5.17E-010, 
  4.40,   3.20E-011, 
  4.50,  -2.31E-010, 
  4.60,  -2.21E-010, 
  4.70,  -3.11E-010, 
  4.80,  -2.88E-010, 
  4.90,  -2.21E-010, 
  5.00,  -2.63E-010, 
  5.10,  -4.14E-010, 
  5.20,  -4.57E-010, 
  5.30,  -4.09E-010, 
  5.40,  -2.93E-010, 
  5.50,  -2.61E-010, 
  5.60,  -2.08E-010, 
  5.70,  -1.21E-010, 
  5.80,  -1.74E-010, 
  5.90,  -2.00E-010, 
  6.00,  -1.96E-010, 
  6.10,  -2.29E-010, 
  6.20,  -2.17E-010, 
  6.30,  -1.78E-010, 
  6.40,  -9.48E-011, 
  6.50,  -1.32E-010, 
  6.60,  -2.08E-010, 
  6.70,  -2.10E-010, 
  6.80,  -2.13E-010, 
  6.90,  -1.95E-010, 
  7.00,  -2.13E-010, 
  7.10,  -1.70E-010, 
  7.20,  -2.00E-010, 
  7.30,  -2.23E-010, 
  7.40,  -2.19E-010, 
  7.50,  -1.82E-010, 
  7.60,  -1.99E-010, 
  7.70,  -1.24E-010, 
  7.80,  -3.37E-011, 
  7.90,   3.93E-011, 
  8.00,   8.19E-011, 
  8.10,   1.21E-010, 
  8.20,   1.76E-010, 
  8.30,   1.67E-010, 
  8.40,   1.40E-011, 
  8.50,  -5.50E-011, 
  8.60,  -6.73E-011, 
  8.70,  -1.05E-010, 
  8.80,  -1.48E-010, 
  8.90,  -1.22E-010, 
  9.00,  -1.09E-010, 
  9.10,  -8.81E-011, 
  9.20,  -6.67E-011, 
  9.30,  -9.76E-011, 
  9.40,  -8.86E-011, 
  9.50,  -3.31E-011, 
  9.60,  -5.83E-011, 
  9.70,  -9.48E-011, 
  9.80,  -1.33E-010, 
  9.90,  -5.83E-011, 
 10.00,   1.12E-012, 
 10.10,   1.23E-011, 
 10.20,  -6.62E-011, 
 10.30,  -6.23E-011, 
 10.40,  -1.23E-010, 
 10.50,  -1.21E-010, 
 10.60,  -1.50E-010, 
 10.70,  -1.19E-010, 
 10.80,  -1.20E-010, 
 10.90,  -1.42E-010, 
 11.00,  -1.22E-010, 
 11.10,  -1.30E-010, 
 11.20,  -1.27E-010, 
 11.30,  -8.47E-011, 
 11.40,  -5.38E-011, 
 11.50,   2.51E-010, 
 11.60,   2.12E-009, 
 11.70,   6.06E-009, 
 11.80,   1.09E-008, 
 11.90,   1.49E-008, 
 12.00,   1.72E-008, 
 12.10,   1.72E-008, 
 12.20,   1.56E-008, 
 12.30,   1.22E-008, 
 12.40,   5.70E-009, 
 12.50,   2.77E-009, 
 12.60,   1.66E-009, 
 12.70,   1.33E-009, 
 12.80,   1.40E-009, 
 12.90,   1.56E-009, 
 13.00,   1.66E-009, 
 13.10,   1.69E-009, 
 13.20,   1.66E-009, 
 13.30,   1.43E-009, 
 13.40,   9.10E-010, 
 13.50,   7.01E-010, 
 13.60,   1.42E-009, 
 13.70,   3.41E-009, 
 13.80,   6.10E-009, 
 13.90,   8.54E-009, 
 14.00,   1.03E-008, 
 14.10,   1.07E-008, 
 14.20,   1.01E-008, 
 14.30,   8.49E-009, 
 14.40,   4.59E-009, 
 14.50,   2.56E-009, 
 14.60,   2.74E-009, 
 14.70,   5.04E-009, 
 14.80,   8.70E-009, 
 14.90,   1.20E-008, 
 15.00,   1.41E-008, 
 15.10,   1.47E-008, 
 15.20,   1.43E-008, 
 15.30,   1.29E-008, 
 15.40,   8.22E-009, 
 15.50,   1.07E-008, 
 15.60,   5.44E-008, 
 15.70,   1.26E-007, 
 15.80,   1.71E-007, 
 15.90,   1.91E-007, 
 16.00,   1.96E-007, 
 16.10,   1.87E-007, 
 16.20,   1.69E-007, 
 16.30,   1.05E-007, 
 16.40,   3.15E-008, 
 16.50,   1.04E-007, 
 16.60,   5.45E-007, 
 16.70,   9.35E-007, 
 16.80,   1.24E-006, 
 16.90,   1.38E-006, 
 17.00,   1.41E-006, 
 17.10,   1.34E-006, 
 17.20,   1.20E-006, 
 17.30,   6.19E-007, 
 17.40,   1.03E-007, 
 17.50,   4.66E-007, 
 17.60,   2.18E-006, 
 17.70,   3.70E-006, 
 17.80,   4.99E-006, 
 17.90,   5.62E-006, 
 18.00,   5.79E-006, 
 18.10,   5.55E-006, 
 18.20,   4.95E-006, 
 18.30,   2.62E-006, 
 18.40,   5.84E-008, 
 18.50,   1.27E-008, 
 18.60,   1.08E-008, 
 18.70,   1.86E-008, 
 18.80,   2.99E-008, 
 18.90,   3.90E-008, 
 19.00,   4.35E-008, 
 19.10,   4.30E-008, 
 19.20,   4.05E-008, 
 19.30,   3.17E-008, 
 19.40,   1.18E-008, 
 19.50,   4.86E-009, 
 19.60,   3.28E-009, 
 19.70,   3.63E-009, 
 19.80,   4.73E-009, 
 19.90,   6.00E-009, 
 20.00,   6.93E-009, 
 20.10,   7.34E-009, 
 20.20,   7.20E-009, 
 20.30,   6.21E-009, 
 20.40,   3.40E-009, 
 20.50,   1.71E-009, 
 20.60,   8.05E-010, 
 20.70,   3.01E-010, 
 20.80,  -1.09E-010, 
 20.90,  -4.37E-011, 
 21.00,   3.93E-012, 
 21.10,  -1.12E-011, 
 21.20,  -7.46E-011, 
 21.30,  -1.05E-010, 
 21.40,  -8.36E-011, 
 21.50,  -1.14E-010, 
 21.60,  -2.24E-012, 
 21.70,   3.03E-010, 
 21.80,   7.68E-010, 
 21.90,   8.99E-010, 
 22.00,   1.10E-009, 
 22.10,   1.21E-009, 
 22.20,   1.23E-009, 
 22.30,   9.85E-010, 
 22.40,   5.13E-010, 
 22.50,  -5.72E-011, 
 22.60,  -1.16E-010, 
 22.70,  -7.35E-011, 
 22.80,  -5.38E-011, 
 22.90,  -3.42E-011, 
 23.00,  -6.45E-011, 
 23.10,  -9.81E-011, 
 23.20,  -9.42E-011, 
 23.30,  -7.40E-011, 
 23.40,  -1.04E-010, 
 23.50,  -1.18E-010, 
 23.60,  -5.89E-011, 
 23.70,  -8.86E-011, 
 23.80,  -9.37E-011, 
 23.90,  -1.19E-010, 
 24.00,  -1.45E-010, 
 24.10,  -8.64E-011, 
 24.20,  -1.17E-010, 
 24.30,  -1.32E-010, 
 24.40,  -1.44E-010, 
 24.50,  -1.21E-010, 
 24.60,  -1.09E-010, 
 24.70,  -5.27E-011, 
 24.80,  -6.56E-011, 
 24.90,   7.85E-012, 
 25.00,   9.48E-011, 
 25.10,   1.24E-010, 
 25.20,   9.87E-011, 
 25.30,   9.65E-011, 
 25.40,   3.37E-012, 
 25.50,   6.45E-011, 
 25.60,   3.89E-010, 
 25.70,   7.77E-010, 
 25.80,   1.10E-009, 
 25.90,   1.41E-009, 
 26.00,   1.59E-009, 
 26.10,   1.78E-009, 
 26.20,   1.77E-009, 
 26.30,   1.63E-009, 
 26.40,   1.01E-009, 
 26.50,   6.86E-010, 
 26.60,   1.00E-009, 
 26.70,   1.95E-009, 
 26.80,   3.04E-009, 
 26.90,   4.23E-009, 
 27.00,   5.22E-009, 
 27.10,   5.92E-009, 
 27.20,   6.14E-009, 
 27.30,   6.27E-009, 
 27.40,   5.68E-009, 
 27.50,   1.14E-008, 
 27.60,   5.53E-008, 
 27.70,   1.10E-007, 
 27.80,   1.48E-007, 
 27.90,   1.74E-007, 
 28.00,   1.80E-007, 
 28.10,   1.76E-007, 
 28.20,   1.57E-007, 
 28.30,   1.00E-007, 
 28.40,   1.75E-008, 
 28.50,   6.66E-009, 
 28.60,   4.63E-009, 
 28.70,   4.86E-009, 
 28.80,   6.20E-009, 
 28.90,   7.88E-009, 
 29.00,   9.08E-009, 
 29.10,   9.52E-009, 
 29.20,   9.39E-009, 
 29.30,   8.19E-009, 
 29.40,   4.68E-009, 
 29.50,   3.46E-009, 
 29.60,   6.74E-009, 
 29.70,   1.26E-008, 
 29.80,   1.95E-008, 
 29.90,   2.57E-008, 
 30.00,   2.88E-008, 
 30.10,   2.90E-008, 
 30.20,   2.73E-008, 
 30.30,   2.16E-008, 
 30.40,   8.97E-009, 
 30.50,   3.95E-009, 
 30.60,   2.18E-009, 
 30.70,   1.45E-009, 
 30.80,   1.17E-009, 
 30.90,   1.15E-009, 
 31.00,   1.15E-009, 
 31.10,   1.29E-009, 
 31.20,   1.58E-009, 
 31.30,   2.16E-009, 
 31.40,   3.38E-009, 
 31.50,   1.18E-008, 
 31.60,   5.99E-008, 
 31.70,   1.09E-007, 
 31.80,   1.42E-007, 
 31.90,   1.68E-007, 
 32.00,   1.76E-007, 
 32.10,   1.72E-007, 
 32.20,   1.54E-007, 
 32.30,   9.20E-008, 
 32.40,   1.63E-008, 
 32.50,   6.02E-009, 
 32.60,   3.03E-009, 
 32.70,   1.89E-009, 
 32.80,   1.33E-009, 
 32.90,   1.09E-009, 
 33.00,   1.06E-009, 
 33.10,   9.93E-010, 
 33.20,   9.71E-010, 
 33.30,   8.36E-010, 
 33.40,   5.51E-010, 
 33.50,   7.29E-011, 
 33.60,   7.85E-012, 
 33.70,   4.00E-010, 
 33.80,   5.90E-010, 
 33.90,   6.38E-010, 
 34.00,   6.03E-010, 
 34.10,   6.34E-010, 
 34.20,   6.57E-010, 
 34.30,   5.87E-010, 
 34.40,   3.45E-010, 
 34.50,  -6.00E-011, 
 34.60,  -3.70E-011, 
 34.70,   2.92E-011, 
 34.80,   9.70E-011, 
 34.90,   1.30E-010, 
 35.00,   1.31E-010, 
 35.10,   1.31E-010, 
 35.20,   6.84E-011, 
 35.30,   1.68E-011, 
 35.40,   1.29E-011, 
 35.50,   4.21E-011, 
 35.60,   9.81E-011, 
 35.70,   1.12E-010, 
 35.80,   1.27E-010, 
 35.90,   1.62E-010, 
 36.00,   3.57E-010, 
 36.10,   5.87E-010, 
 36.20,   4.95E-010, 
 36.30,   1.15E-010, 
 36.40,  -9.37E-011, 
 36.50,  -9.87E-011, 
 36.60,  -1.19E-010, 
 36.70,  -1.21E-010, 
 36.80,  -1.13E-010, 
 36.90,  -9.70E-011, 
 37.00,  -1.05E-010, 
 37.10,  -6.84E-011, 
 37.20,   2.52E-011, 
 37.30,  -3.98E-011, 
 37.40,  -7.85E-011, 
 37.50,  -1.63E-011, 
 37.60,   2.02E-011, 
 37.70,   5.50E-011, 
 37.80,   7.40E-011, 
 37.90,   3.53E-011, 
 38.00,   1.47E-010, 
 38.10,   1.62E-010, 
 38.20,   1.39E-010, 
