Sep 24, 2019  04:05:58 PM
Residual Gas Analyzer Software 
Software Version, 3.005

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.78E-004 
Filament Current, 1.00, mAmps


  1.00,  -4.24E-009, 
  1.10,  -3.30E-009, 
  1.20,   6.66E-008, 
  1.30,   8.11E-007, 
  1.40,   5.54E-007, 
  1.50,   3.32E-006, 
  1.60,   8.09E-006, 
  1.70,   1.34E-005, 
  1.80,   1.65E-005, 
  1.90,   1.92E-005, 
  2.00,   1.98E-005, 
  2.10,   1.93E-005, 
  2.20,   1.83E-005, 
  2.30,   1.41E-005, 
  2.40,   3.64E-006, 
  2.50,   6.10E-008, 
  2.60,   1.54E-008, 
  2.70,   1.87E-008, 
  2.80,   3.26E-008, 
  2.90,   4.77E-008, 
  3.00,   5.17E-008, 
  3.10,   5.63E-008, 
  3.20,   5.26E-008, 
  3.30,   4.31E-008, 
  3.40,   2.21E-008, 
  3.50,   7.56E-009, 
  3.60,   3.40E-009, 
  3.70,   1.86E-009, 
  3.80,   1.27E-009, 
  3.90,   1.08E-009, 
  4.00,   9.31E-010, 
  4.10,   9.17E-010, 
  4.20,   8.10E-010, 
  4.30,   7.15E-010, 
  4.40,   2.52E-010, 
  4.50,  -6.90E-011, 
  4.60,  -4.99E-011, 
  4.70,  -9.42E-011, 
  4.80,  -1.93E-010, 
  4.90,  -2.19E-010, 
  5.00,  -2.24E-010, 
  5.10,  -2.28E-010, 
  5.20,  -1.93E-010, 
  5.30,  -1.85E-010, 
  5.40,  -1.86E-010, 
  5.50,  -2.11E-010, 
  5.60,  -2.07E-010, 
  5.70,  -2.26E-010, 
  5.80,  -1.39E-010, 
  5.90,  -1.24E-010, 
  6.00,  -1.02E-010, 
  6.10,  -7.01E-011, 
  6.20,  -8.86E-011, 
  6.30,  -8.13E-011, 
  6.40,  -1.13E-010, 
  6.50,  -8.41E-011, 
  6.60,  -7.91E-011, 
  6.70,  -3.87E-011, 
  6.80,  -1.57E-011, 
  6.90,  -5.33E-011, 
  7.00,  -4.99E-011, 
  7.10,  -8.13E-011, 
  7.20,  -1.14E-010, 
  7.30,  -1.48E-010, 
  7.40,  -1.83E-010, 
  7.50,  -1.15E-010, 
  7.60,  -6.56E-011, 
  7.70,  -2.80E-012, 
  7.80,   3.65E-011, 
  7.90,   1.56E-010, 
  8.00,   1.58E-010, 
  8.10,   2.13E-010, 
  8.20,   2.33E-010, 
  8.30,   2.45E-010, 
  8.40,   2.12E-010, 
  8.50,   1.14E-010, 
  8.60,   1.54E-010, 
  8.70,   8.41E-011, 
  8.80,  -1.12E-012, 
  8.90,  -1.51E-011, 
  9.00,  -2.02E-011, 
  9.10,  -6.28E-011, 
  9.20,  -9.93E-011, 
  9.30,  -1.40E-010, 
  9.40,  -9.53E-011, 
  9.50,  -8.64E-011, 
  9.60,  -4.37E-011, 
  9.70,   6.73E-012, 
  9.80,   2.75E-011, 
  9.90,   2.64E-011, 
 10.00,   1.23E-011, 
 10.10,  -2.24E-011, 
 10.20,  -5.61E-013, 
 10.30,  -1.01E-011, 
 10.40,   1.23E-011, 
 10.50,   4.26E-011, 
 10.60,   6.23E-011, 
 10.70,   2.47E-011, 
 10.80,  -1.63E-011, 
 10.90,   3.93E-011, 
 11.00,   4.26E-011, 
 11.10,  -1.91E-011, 
 11.20,  -1.57E-011, 
 11.30,  -2.80E-012, 
 11.40,   3.03E-011, 
 11.50,   2.86E-010, 
 11.60,   1.82E-009, 
 11.70,   4.84E-009, 
 11.80,   8.74E-009, 
 11.90,   1.19E-008, 
 12.00,   1.39E-008, 
 12.10,   1.42E-008, 
 12.20,   1.30E-008, 
 12.30,   1.03E-008, 
 12.40,   5.07E-009, 
 12.50,   2.56E-009, 
 12.60,   1.51E-009, 
 12.70,   1.17E-009, 
 12.80,   1.13E-009, 
 12.90,   1.27E-009, 
 13.00,   1.36E-009, 
 13.10,   1.44E-009, 
 13.20,   1.45E-009, 
 13.30,   1.30E-009, 
 13.40,   9.40E-010, 
 13.50,   7.51E-010, 
 13.60,   1.31E-009, 
 13.70,   3.03E-009, 
 13.80,   5.36E-009, 
 13.90,   7.53E-009, 
 14.00,   8.98E-009, 
 14.10,   9.30E-009, 
 14.20,   8.85E-009, 
 14.30,   7.46E-009, 
 14.40,   4.16E-009, 
 14.50,   2.40E-009, 
 14.60,   2.29E-009, 
 14.70,   3.92E-009, 
 14.80,   6.57E-009, 
 14.90,   9.08E-009, 
 15.00,   1.08E-008, 
 15.10,   1.14E-008, 
 15.20,   1.14E-008, 
 15.30,   1.02E-008, 
 15.40,   6.88E-009, 
 15.50,   9.38E-009, 
 15.60,   4.92E-008, 
 15.70,   1.20E-007, 
 15.80,   1.65E-007, 
 15.90,   1.84E-007, 
 16.00,   1.89E-007, 
 16.10,   1.79E-007, 
 16.20,   1.62E-007, 
 16.30,   1.02E-007, 
 16.40,   3.13E-008, 
 16.50,   9.80E-008, 
 16.60,   5.30E-007, 
 16.70,   9.36E-007, 
 16.80,   1.25E-006, 
 16.90,   1.39E-006, 
 17.00,   1.43E-006, 
 17.10,   1.36E-006, 
 17.20,   1.20E-006, 
 17.30,   6.32E-007, 
 17.40,   1.01E-007, 
 17.50,   4.42E-007, 
 17.60,   2.15E-006, 
 17.70,   3.75E-006, 
 17.80,   5.06E-006, 
 17.90,   5.67E-006, 
 18.00,   5.82E-006, 
 18.10,   5.56E-006, 
 18.20,   4.98E-006, 
 18.30,   2.70E-006, 
 18.40,   6.00E-008, 
 18.50,   1.31E-008, 
 18.60,   1.18E-008, 
 18.70,   2.20E-008, 
 18.80,   3.65E-008, 
 18.90,   4.75E-008, 
 19.00,   5.28E-008, 
 19.10,   5.16E-008, 
 19.20,   4.78E-008, 
 19.30,   3.72E-008, 
 19.40,   1.31E-008, 
 19.50,   5.25E-009, 
 19.60,   3.41E-009, 
 19.70,   3.64E-009, 
 19.80,   4.78E-009, 
 19.90,   6.19E-009, 
 20.00,   7.18E-009, 
 20.10,   7.56E-009, 
 20.20,   7.48E-009, 
 20.30,   6.54E-009, 
 20.40,   3.64E-009, 
 20.50,   1.78E-009, 
 20.60,   9.08E-010, 
 20.70,   2.89E-010, 
 20.80,   2.86E-011, 
 20.90,   5.27E-011, 
 21.00,   3.59E-011, 
 21.10,   2.36E-011, 
 21.20,   1.35E-011, 
 21.30,  -1.51E-011, 
 21.40,   3.48E-011, 
 21.50,   7.57E-011, 
 21.60,   2.29E-010, 
 21.70,   6.00E-010, 
 21.80,   7.26E-010, 
 21.90,   8.43E-010, 
 22.00,   9.86E-010, 
 22.10,   1.09E-009, 
 22.20,   1.12E-009, 
 22.30,   9.64E-010, 
 22.40,   5.51E-010, 
 22.50,   5.89E-011, 
 22.60,  -4.49E-012, 
 22.70,  -7.18E-011, 
 22.80,  -5.95E-011, 
 22.90,  -9.87E-011, 
 23.00,  -1.06E-010, 
 23.10,  -3.48E-011, 
 23.20,  -2.97E-011, 
 23.30,  -3.20E-011, 
 23.40,  -5.66E-011, 
 23.50,  -1.63E-011, 
 23.60,  -2.52E-011, 
 23.70,  -5.55E-011, 
 23.80,   5.95E-011, 
 23.90,   6.84E-011, 
 24.00,   3.03E-011, 
 24.10,   7.35E-011, 
 24.20,   7.68E-011, 
 24.30,   4.15E-011, 
 24.40,  -8.97E-012, 
 24.50,  -5.05E-012, 
 24.60,  -2.02E-011, 
 24.70,   5.27E-011, 
 24.80,   1.45E-010, 
 24.90,   9.25E-011, 
 25.00,   1.67E-010, 
 25.10,   1.95E-010, 
 25.20,   1.53E-010, 
 25.30,   2.01E-010, 
 25.40,   1.49E-010, 
 25.50,   1.13E-010, 
 25.60,   2.50E-010, 
 25.70,   8.37E-010, 
 25.80,   1.05E-009, 
 25.90,   1.23E-009, 
 26.00,   1.39E-009, 
 26.10,   1.51E-009, 
 26.20,   1.55E-009, 
 26.30,   1.42E-009, 
 26.40,   9.46E-010, 
 26.50,   6.85E-010, 
 26.60,   8.61E-010, 
 26.70,   1.47E-009, 
 26.80,   2.21E-009, 
 26.90,   3.04E-009, 
 27.00,   3.72E-009, 
 27.10,   4.20E-009, 
 27.20,   4.62E-009, 
 27.30,   4.81E-009, 
 27.40,   4.45E-009, 
 27.50,   8.78E-009, 
 27.60,   4.27E-008, 
 27.70,   9.02E-008, 
 27.80,   1.24E-007, 
 27.90,   1.46E-007, 
 28.00,   1.53E-007, 
 28.10,   1.49E-007, 
 28.20,   1.32E-007, 
 28.30,   8.72E-008, 
 28.40,   1.68E-008, 
 28.50,   6.63E-009, 
 28.60,   4.68E-009, 
 28.70,   5.06E-009, 
 28.80,   6.36E-009, 
 28.90,   7.84E-009, 
 29.00,   9.13E-009, 
 29.10,   9.55E-009, 
 29.20,   9.38E-009, 
 29.30,   8.22E-009, 
 29.40,   4.78E-009, 
 29.50,   3.48E-009, 
 29.60,   6.42E-009, 
 29.70,   1.19E-008, 
 29.80,   1.82E-008, 
 29.90,   2.41E-008, 
 30.00,   2.74E-008, 
 30.10,   2.77E-008, 
 30.20,   2.59E-008, 
 30.30,   2.08E-008, 
 30.40,   8.79E-009, 
 30.50,   3.98E-009, 
 30.60,   2.20E-009, 
 30.70,   1.55E-009, 
 30.80,   1.34E-009, 
 30.90,   1.26E-009, 
 31.00,   1.28E-009, 
 31.10,   1.43E-009, 
 31.20,   1.68E-009, 
 31.30,   2.10E-009, 
 31.40,   2.86E-009, 
 31.50,   8.55E-009, 
 31.60,   4.14E-008, 
 31.70,   8.21E-008, 
 31.80,   1.09E-007, 
 31.90,   1.30E-007, 
 32.00,   1.38E-007, 
 32.10,   1.35E-007, 
 32.20,   1.20E-007, 
 32.30,   7.51E-008, 
 32.40,   1.54E-008, 
 32.50,   5.98E-009, 
 32.60,   3.08E-009, 
 32.70,   1.94E-009, 
 32.80,   1.44E-009, 
 32.90,   1.16E-009, 
 33.00,   1.13E-009, 
 33.10,   1.07E-009, 
 33.20,   9.41E-010, 
 33.30,   8.96E-010, 
 33.40,   6.48E-010, 
 33.50,   1.92E-010, 
 33.60,   1.79E-010, 
 33.70,   2.70E-010, 
 33.80,   5.64E-010, 
 33.90,   7.75E-010, 
 34.00,   7.37E-010, 
 34.10,   6.84E-010, 
 34.20,   6.71E-010, 
 34.30,   7.04E-010, 
 34.40,   2.63E-010, 
 34.50,   5.22E-011, 
 34.60,   4.71E-011, 
 34.70,   7.68E-011, 
 34.80,   1.91E-010, 
 34.90,   1.94E-010, 
 35.00,   1.82E-010, 
 35.10,   1.74E-010, 
 35.20,   2.26E-010, 
 35.30,   1.95E-010, 
 35.40,   2.48E-010, 
 35.50,   2.22E-010, 
 35.60,   1.89E-010, 
 35.70,   2.34E-010, 
 35.80,   3.10E-010, 
 35.90,   6.37E-010, 
 36.00,   6.25E-010, 
 36.10,   5.48E-010, 
 36.20,   4.34E-010, 
 36.30,   1.54E-010, 
 36.40,   1.77E-010, 
 36.50,   1.35E-010, 
 36.60,   1.39E-010, 
 36.70,   1.10E-010, 
 36.80,   1.35E-011, 
 36.90,   1.46E-011, 
 37.00,   6.67E-011, 
 37.10,   9.14E-011, 
 37.20,   1.79E-010, 
 37.30,   1.65E-010, 
 37.40,   1.10E-010, 
 37.50,   8.41E-011, 
 37.60,   6.17E-011, 
 37.70,   3.42E-011, 
 37.80,   6.39E-011, 
 37.90,   6.73E-011, 
 38.00,   8.58E-011, 
 38.10,   2.06E-010, 
 38.20,   3.21E-010, 
 38.30,   3.34E-010, 
 38.40,   2.43E-010, 
