Sep 24, 2019  04:10:16 PM
Residual Gas Analyzer Software 
Software Version, 3.005

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.78E-004 
Filament Current, 1.00, mAmps


  1.00,  -1.34E-009, 
  1.10,  -1.34E-009, 
  1.20,   1.17E-007, 
  1.30,   9.08E-007, 
  1.40,   5.72E-007, 
  1.50,   2.92E-006, 
  1.60,   7.01E-006, 
  1.70,   1.16E-005, 
  1.80,   1.45E-005, 
  1.90,   1.67E-005, 
  2.00,   1.73E-005, 
  2.10,   1.68E-005, 
  2.20,   1.60E-005, 
  2.30,   1.25E-005, 
  2.40,   3.55E-006, 
  2.50,   4.02E-008, 
  2.60,   8.03E-009, 
  2.70,   1.65E-008, 
  2.80,   2.89E-008, 
  2.90,   3.84E-008, 
  3.00,   3.86E-008, 
  3.10,   4.24E-008, 
  3.20,   3.82E-008, 
  3.30,   3.04E-008, 
  3.40,   1.21E-008, 
  3.50,   2.28E-009, 
  3.60,   8.67E-010, 
  3.70,   5.87E-010, 
  3.80,   5.95E-010, 
  3.90,   6.78E-010, 
  4.00,   8.38E-010, 
  4.10,   9.41E-010, 
  4.20,   9.87E-010, 
  4.30,   8.64E-010, 
  4.40,   5.22E-010, 
  4.50,   2.18E-010, 
  4.60,   4.32E-011, 
  4.70,   2.80E-012, 
  4.80,  -2.13E-011, 
  4.90,  -2.08E-011, 
  5.00,  -1.91E-011, 
  5.10,  -4.60E-011, 
  5.20,  -3.93E-012, 
  5.30,  -2.69E-011, 
  5.40,  -3.20E-011, 
  5.50,  -2.69E-011, 
  5.60,  -3.70E-011, 
  5.70,  -1.29E-011, 
  5.80,  -8.97E-012, 
  5.90,   0.00E+000, 
  6.00,   2.75E-011, 
  6.10,   6.28E-011, 
  6.20,   4.88E-011, 
  6.30,   3.70E-011, 
  6.40,   2.80E-011, 
  6.50,   2.64E-011, 
  6.60,  -3.93E-012, 
  6.70,   1.46E-011, 
  6.80,   1.01E-011, 
  6.90,   6.23E-011, 
  7.00,   4.54E-011, 
  7.10,   1.74E-011, 
  7.20,   5.16E-011, 
  7.30,   7.40E-011, 
  7.40,   4.60E-011, 
  7.50,   3.76E-011, 
  7.60,   6.06E-011, 
  7.70,   1.02E-010, 
  7.80,   1.80E-010, 
  7.90,   2.80E-010, 
  8.00,   3.17E-010, 
  8.10,   3.09E-010, 
  8.20,   2.97E-010, 
  8.30,   2.74E-010, 
  8.40,   1.56E-010, 
  8.50,   1.16E-010, 
  8.60,   9.42E-011, 
  8.70,   7.74E-011, 
  8.80,   5.22E-011, 
  8.90,   3.37E-011, 
  9.00,   2.36E-011, 
  9.10,   1.68E-011, 
  9.20,   1.40E-011, 
  9.30,   3.93E-012, 
  9.40,   1.51E-011, 
  9.50,   2.36E-011, 
  9.60,   1.68E-012, 
  9.70,   2.08E-011, 
  9.80,   5.55E-011, 
  9.90,   6.95E-011, 
 10.00,   7.07E-011, 
 10.10,   1.00E-010, 
 10.20,   6.23E-011, 
 10.30,   6.67E-011, 
 10.40,   7.63E-011, 
 10.50,   5.22E-011, 
 10.60,   6.73E-011, 
 10.70,   3.98E-011, 
 10.80,   2.58E-011, 
 10.90,   3.31E-011, 
 11.00,   3.59E-011, 
 11.10,   7.18E-011, 
 11.20,   7.07E-011, 
 11.30,   8.36E-011, 
 11.40,   1.11E-010, 
 11.50,   3.47E-010, 
 11.60,   1.65E-009, 
 11.70,   5.88E-009, 
 11.80,   1.05E-008, 
 11.90,   1.29E-008, 
 12.00,   1.37E-008, 
 12.10,   1.28E-008, 
 12.20,   1.12E-008, 
 12.30,   7.75E-009, 
 12.40,   2.41E-009, 
 12.50,   9.57E-010, 
 12.60,   6.39E-010, 
 12.70,   6.70E-010, 
 12.80,   8.13E-010, 
 12.90,   1.02E-009, 
 13.00,   1.19E-009, 
 13.10,   1.20E-009, 
 13.20,   1.13E-009, 
 13.30,   1.01E-009, 
 13.40,   6.42E-010, 
 13.50,   5.38E-010, 
 13.60,   1.30E-009, 
 13.70,   3.66E-009, 
 13.80,   6.60E-009, 
 13.90,   8.37E-009, 
 14.00,   8.99E-009, 
 14.10,   8.60E-009, 
 14.20,   7.75E-009, 
 14.30,   5.97E-009, 
 14.40,   2.20E-009, 
 14.50,   1.13E-009, 
 14.60,   1.53E-009, 
 14.70,   3.96E-009, 
 14.80,   7.27E-009, 
 14.90,   9.49E-009, 
 15.00,   1.03E-008, 
 15.10,   1.01E-008, 
 15.20,   9.62E-009, 
 15.30,   8.39E-009, 
 15.40,   4.77E-009, 
 15.50,   1.14E-008, 
 15.60,   6.91E-008, 
 15.70,   1.26E-007, 
 15.80,   1.65E-007, 
 15.90,   1.83E-007, 
 16.00,   1.87E-007, 
 16.10,   1.76E-007, 
 16.20,   1.58E-007, 
 16.30,   8.98E-008, 
 16.40,   2.44E-008, 
 16.50,   1.15E-007, 
 16.60,   5.39E-007, 
 16.70,   9.37E-007, 
 16.80,   1.23E-006, 
 16.90,   1.38E-006, 
 17.00,   1.40E-006, 
 17.10,   1.33E-006, 
 17.20,   1.19E-006, 
 17.30,   6.47E-007, 
 17.40,   9.65E-008, 
 17.50,   4.22E-007, 
 17.60,   2.06E-006, 
 17.70,   3.68E-006, 
 17.80,   4.96E-006, 
 17.90,   5.55E-006, 
 18.00,   5.72E-006, 
 18.10,   5.43E-006, 
 18.20,   4.90E-006, 
 18.30,   2.75E-006, 
 18.40,   4.05E-008, 
 18.50,   6.22E-009, 
 18.60,   1.03E-008, 
 18.70,   2.37E-008, 
 18.80,   3.49E-008, 
 18.90,   4.11E-008, 
 19.00,   4.36E-008, 
 19.10,   4.12E-008, 
 19.20,   3.83E-008, 
 19.30,   2.85E-008, 
 19.40,   4.99E-009, 
 19.50,   1.58E-009, 
 19.60,   1.67E-009, 
 19.70,   3.15E-009, 
 19.80,   5.35E-009, 
 19.90,   7.00E-009, 
 20.00,   7.66E-009, 
 20.10,   7.64E-009, 
 20.20,   7.30E-009, 
 20.30,   5.77E-009, 
 20.40,   2.20E-009, 
 20.50,   9.23E-010, 
 20.60,   4.91E-010, 
 20.70,   3.32E-010, 
 20.80,   2.42E-010, 
 20.90,   1.53E-010, 
 21.00,   1.32E-010, 
 21.10,   1.44E-010, 
 21.20,   1.22E-010, 
 21.30,   9.76E-011, 
 21.40,   9.81E-011, 
 21.50,   7.91E-011, 
 21.60,   2.26E-010, 
 21.70,   4.30E-010, 
 21.80,   6.62E-010, 
 21.90,   8.93E-010, 
 22.00,   1.04E-009, 
 22.10,   1.09E-009, 
 22.20,   1.05E-009, 
 22.30,   9.09E-010, 
 22.40,   5.48E-010, 
 22.50,   3.16E-010, 
 22.60,   2.16E-010, 
 22.70,   6.90E-011, 
 22.80,   6.34E-011, 
 22.90,   8.02E-011, 
 23.00,   5.38E-011, 
 23.10,   6.45E-011, 
 23.20,   7.23E-011, 
 23.30,   3.20E-011, 
 23.40,   1.18E-011, 
 23.50,   3.14E-011, 
 23.60,   5.83E-011, 
 23.70,   4.60E-011, 
 23.80,   5.55E-011, 
 23.90,   9.76E-011, 
 24.00,   1.08E-010, 
 24.10,   9.48E-011, 
 24.20,   9.37E-011, 
 24.30,   8.75E-011, 
 24.40,   6.67E-011, 
 24.50,   5.10E-011, 
 24.60,   8.64E-011, 
 24.70,   1.49E-010, 
 24.80,   2.72E-010, 
 24.90,   2.66E-010, 
 25.00,   2.96E-010, 
 25.10,   2.99E-010, 
 25.20,   2.68E-010, 
 25.30,   2.53E-010, 
 25.40,   8.75E-011, 
 25.50,   7.63E-011, 
 25.60,   3.04E-010, 
 25.70,   5.43E-010, 
 25.80,   8.21E-010, 
 25.90,   1.07E-009, 
 26.00,   1.29E-009, 
 26.10,   1.36E-009, 
 26.20,   1.32E-009, 
 26.30,   1.21E-009, 
 26.40,   7.27E-010, 
 26.50,   4.73E-010, 
 26.60,   7.08E-010, 
 26.70,   1.36E-009, 
 26.80,   2.11E-009, 
 26.90,   2.85E-009, 
 27.00,   3.32E-009, 
 27.10,   3.71E-009, 
 27.20,   3.92E-009, 
 27.30,   3.87E-009, 
 27.40,   3.44E-009, 
 27.50,   9.58E-009, 
 27.60,   4.75E-008, 
 27.70,   7.85E-008, 
 27.80,   1.03E-007, 
 27.90,   1.20E-007, 
 28.00,   1.26E-007, 
 28.10,   1.23E-007, 
 28.20,   1.08E-007, 
 28.30,   6.31E-008, 
 28.40,   5.69E-009, 
 28.50,   1.83E-009, 
 28.60,   2.13E-009, 
 28.70,   3.78E-009, 
 28.80,   5.87E-009, 
 28.90,   7.61E-009, 
 29.00,   8.48E-009, 
 29.10,   8.62E-009, 
 29.20,   8.15E-009, 
 29.30,   6.54E-009, 
 29.40,   2.62E-009, 
 29.50,   2.04E-009, 
 29.60,   6.35E-009, 
 29.70,   1.34E-008, 
 29.80,   1.88E-008, 
 29.90,   2.29E-008, 
 30.00,   2.44E-008, 
 30.10,   2.41E-008, 
 30.20,   2.21E-008, 
 30.30,   1.60E-008, 
 30.40,   3.56E-009, 
 30.50,   1.29E-009, 
 30.60,   7.20E-010, 
 30.70,   5.97E-010, 
 30.80,   6.65E-010, 
 30.90,   8.04E-010, 
 31.00,   9.48E-010, 
 31.10,   1.11E-009, 
 31.20,   1.34E-009, 
 31.30,   1.63E-009, 
 31.40,   2.10E-009, 
 31.50,   7.08E-009, 
 31.60,   3.53E-008, 
 31.70,   5.52E-008, 
 31.80,   7.16E-008, 
 31.90,   8.51E-008, 
 32.00,   9.09E-008, 
 32.10,   8.85E-008, 
 32.20,   7.86E-008, 
 32.30,   4.38E-008, 
 32.40,   4.77E-009, 
 32.50,   1.42E-009, 
 32.60,   6.99E-010, 
 32.70,   4.87E-010, 
 32.80,   4.36E-010, 
 32.90,   4.12E-010, 
 33.00,   4.66E-010, 
 33.10,   5.15E-010, 
 33.20,   4.75E-010, 
 33.30,   4.17E-010, 
 33.40,   2.33E-010, 
 33.50,   7.96E-011, 
 33.60,   1.02E-010, 
 33.70,   1.60E-010, 
 33.80,   2.71E-010, 
 33.90,   2.73E-010, 
 34.00,   3.09E-010, 
 34.10,   3.01E-010, 
 34.20,   3.56E-010, 
 34.30,   3.67E-010, 
 34.40,   1.74E-010, 
 34.50,   6.79E-011, 
 34.60,   2.86E-011, 
 34.70,   4.21E-011, 
 34.80,   9.14E-011, 
 34.90,   1.09E-010, 
 35.00,   1.19E-010, 
 35.10,   1.44E-010, 
 35.20,   1.37E-010, 
 35.30,   9.14E-011, 
 35.40,   7.68E-011, 
 35.50,   9.81E-011, 
 35.60,   1.45E-010, 
 35.70,   2.52E-010, 
 35.80,   2.51E-010, 
 35.90,   3.43E-010, 
 36.00,   3.73E-010, 
 36.10,   3.52E-010, 
 36.20,   2.87E-010, 
 36.30,   2.77E-010, 
 36.40,   1.19E-010, 
 36.50,   6.90E-011, 
 36.60,   6.34E-011, 
 36.70,   8.36E-011, 
 36.80,   1.04E-010, 
 36.90,   1.39E-010, 
 37.00,   2.20E-010, 
 37.10,   1.59E-010, 
 37.20,   2.64E-010, 
 37.30,   1.76E-010, 
 37.40,   8.30E-011, 
 37.50,   4.88E-011, 
 37.60,   9.81E-011, 
 37.70,   1.24E-010, 
 37.80,   1.92E-010, 
 37.90,   2.50E-010, 
 38.00,   2.89E-010, 
 38.10,   2.68E-010, 
 38.20,   2.84E-010, 
 38.30,   2.94E-010, 
 38.40,   2.24E-010, 
 38.50,   7.07E-011, 
 38.60,   1.15E-010, 
 38.70,   1.78E-010, 
 38.80,   3.21E-010, 
