Sep 24, 2019  04:02:02 PM
Residual Gas Analyzer Software 
Software Version, 3.005

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.78E-004 
Filament Current, 1.00, mAmps


  1.00,   2.86E-011, 
  1.10,  -6.73E-012, 
  1.20,   1.12E-011, 
  1.30,   3.59E-011, 
  1.40,   3.37E-011, 
  1.50,   3.08E-011, 
  1.60,   4.77E-011, 
  1.70,   7.35E-011, 
  1.80,   3.65E-011, 
  1.90,   1.91E-011, 
  2.00,   3.87E-011, 
  2.10,   2.86E-011, 
  2.20,  -2.24E-012, 
  2.30,  -5.05E-012, 
  2.40,   1.63E-011, 
  2.50,  -1.40E-011, 
  2.60,   8.97E-012, 
  2.70,   8.41E-011, 
  2.80,   1.22E-010, 
  2.90,   1.03E-010, 
  3.00,   8.02E-011, 
  3.10,   9.59E-011, 
  3.20,   6.39E-011, 
  3.30,   4.66E-011, 
  3.40,   2.75E-011, 
  3.50,   7.63E-011, 
  3.60,   1.50E-010, 
  3.70,   1.09E-010, 
  3.80,   2.52E-011, 
  3.90,   3.48E-011, 
  4.00,   9.20E-011, 
  4.10,   6.51E-011, 
  4.20,  -8.97E-012, 
  4.30,  -3.37E-011, 
  4.40,   1.12E-012, 
  4.50,   8.41E-012, 
  4.60,  -1.51E-011, 
  4.70,  -5.61E-013, 
  4.80,   1.08E-010, 
  4.90,   1.36E-010, 
  5.00,   1.18E-010, 
  5.10,   1.02E-010, 
  5.20,   2.75E-011, 
  5.30,   4.15E-011, 
  5.40,   4.49E-011, 
  5.50,   3.98E-011, 
  5.60,   2.52E-011, 
  5.70,  -9.53E-012, 
  5.80,   5.72E-011, 
  5.90,   1.33E-010, 
  6.00,   1.61E-010, 
  6.10,   1.18E-010, 
  6.20,   4.15E-011, 
  6.30,   0.00E+000, 
  6.40,   2.52E-011, 
  6.50,   4.09E-011, 
  6.60,  -9.53E-012, 
  6.70,   2.97E-011, 
  6.80,   8.64E-011, 
  6.90,   6.00E-011, 
  7.00,   1.68E-011, 
  7.10,   6.06E-011, 
  7.20,   1.05E-010, 
  7.30,   1.16E-010, 
  7.40,   8.19E-011, 
  7.50,   1.02E-010, 
  7.60,   8.69E-011, 
  7.70,   4.54E-011, 
  7.80,   9.09E-011, 
  7.90,   9.42E-011, 
  8.00,   6.28E-011, 
  8.10,   5.38E-011, 
  8.20,   8.75E-011, 
  8.30,   9.03E-011, 
  8.40,   1.85E-011, 
  8.50,   1.46E-011, 
  8.60,   5.50E-011, 
  8.70,   6.62E-011, 
  8.80,   5.22E-011, 
  8.90,   1.51E-011, 
  9.00,  -5.05E-012, 
  9.10,   1.85E-011, 
  9.20,  -1.01E-011, 
  9.30,  -4.09E-011, 
  9.40,  -1.29E-011, 
  9.50,   4.21E-011, 
  9.60,   1.05E-010, 
  9.70,   1.09E-010, 
  9.80,   1.59E-010, 
  9.90,   9.93E-011, 
 10.00,   9.03E-011, 
 10.10,   3.31E-011, 
 10.20,   1.10E-010, 
 10.30,   9.31E-011, 
 10.40,   5.78E-011, 
 10.50,   8.69E-011, 
 10.60,   7.52E-011, 
 10.70,   7.91E-011, 
 10.80,   8.47E-011, 
 10.90,   9.93E-011, 
 11.00,   4.21E-011, 
 11.10,   8.02E-011, 
 11.20,   1.16E-010, 
 11.30,   1.07E-010, 
 11.40,   3.98E-011, 
 11.50,   3.31E-011, 
 11.60,   1.51E-011, 
 11.70,  -2.41E-011, 
 11.80,  -2.08E-011, 
 11.90,  -1.12E-012, 
 12.00,  -3.76E-011, 
 12.10,   4.94E-011, 
 12.20,   6.79E-011, 
 12.30,   6.51E-011, 
 12.40,   4.77E-011, 
 12.50,   7.01E-011, 
 12.60,   1.02E-010, 
 12.70,   1.05E-010, 
 12.80,   5.83E-011, 
 12.90,   7.18E-011, 
 13.00,   3.93E-011, 
 13.10,   2.41E-011, 
 13.20,   4.77E-011, 
 13.30,   2.24E-012, 
 13.40,   3.20E-011, 
 13.50,   9.81E-011, 
 13.60,   4.71E-011, 
 13.70,   6.73E-011, 
 13.80,   1.11E-010, 
 13.90,   1.35E-010, 
 14.00,   8.47E-011, 
 14.10,   7.12E-011, 
 14.20,   9.98E-011, 
 14.30,   1.06E-010, 
 14.40,   1.11E-010, 
 14.50,   4.60E-011, 
 14.60,   2.52E-011, 
 14.70,  -3.25E-011, 
 14.80,  -3.25E-011, 
 14.90,   5.89E-011, 
 15.00,   1.42E-010, 
 15.10,   7.07E-011, 
 15.20,   8.97E-011, 
 15.30,   4.54E-011, 
 15.40,   7.74E-011, 
 15.50,   4.71E-011, 
 15.60,  -1.57E-011, 
 15.70,   7.68E-011, 
 15.80,   8.30E-011, 
 15.90,   8.36E-011, 
 16.00,   1.44E-010, 
 16.10,   1.48E-010, 
 16.20,   2.09E-010, 
 16.30,   2.07E-010, 
 16.40,   2.11E-010, 
 16.50,   1.10E-010, 
 16.60,   9.03E-011, 
 16.70,   9.59E-011, 
 16.80,   1.09E-010, 
 16.90,   7.85E-011, 
 17.00,   8.69E-011, 
 17.10,   3.87E-011, 
 17.20,  -1.85E-011, 
 17.30,   5.61E-012, 
 17.40,   5.50E-011, 
 17.50,   8.13E-011, 
 17.60,   8.69E-011, 
 17.70,   9.37E-011, 
 17.80,   3.20E-011, 
 17.90,   8.41E-012, 
 18.00,  -8.41E-012, 
 18.10,  -7.07E-011, 
 18.20,   1.29E-011, 
 18.30,   8.97E-011, 
 18.40,   9.93E-011, 
 18.50,   6.28E-011, 
 18.60,   6.62E-011, 
 18.70,   1.18E-011, 
 18.80,  -4.71E-011, 
 18.90,   4.04E-011, 
 19.00,   0.00E+000, 
 19.10,   5.38E-011, 
 19.20,   8.97E-012, 
 19.30,  -6.00E-011, 
 19.40,  -3.59E-011, 
 19.50,   7.85E-011, 
 19.60,   8.47E-011, 
 19.70,   9.03E-011, 
 19.80,   1.41E-010, 
 19.90,   1.28E-010, 
 20.00,   1.69E-010, 
 20.10,   1.42E-010, 
 20.20,   6.79E-011, 
 20.30,   8.30E-011, 
 20.40,   2.64E-011, 
 20.50,   9.20E-011, 
 20.60,   1.26E-010, 
 20.70,   8.75E-011, 
 20.80,   1.55E-010, 
 20.90,   2.13E-010, 
 21.00,   1.45E-010, 
 21.10,   9.87E-011, 
 21.20,   3.93E-011, 
 21.30,  -6.51E-011, 
 21.40,  -2.36E-011, 
 21.50,   4.32E-011, 
 21.60,   3.59E-011, 
 21.70,   8.75E-011, 
 21.80,   8.36E-011, 
 21.90,   1.25E-010, 
 22.00,   1.36E-010, 
 22.10,   8.13E-011, 
 22.20,   1.14E-010, 
 22.30,   8.58E-011, 
 22.40,   4.60E-011, 
 22.50,   2.36E-011, 
 22.60,   7.12E-011, 
 22.70,   9.70E-011, 
 22.80,   4.71E-011, 
 22.90,   3.81E-011, 
 23.00,   5.95E-011, 
 23.10,   4.88E-011, 
 23.20,   8.08E-011, 
 23.30,   3.70E-011, 
 23.40,   4.99E-011, 
 23.50,   6.06E-011, 
 23.60,   1.74E-011, 
 23.70,  -1.91E-011, 
 23.80,  -1.12E-011, 
 23.90,  -3.48E-011, 
 24.00,  -2.08E-011, 
 24.10,   2.24E-012, 
 24.20,   2.80E-011, 
 24.30,   1.00E-010, 
 24.40,   1.06E-010, 
 24.50,   7.18E-011, 
 24.60,   3.98E-011, 
 24.70,   2.52E-011, 
 24.80,   1.35E-010, 
 24.90,   1.31E-010, 
 25.00,   7.23E-011, 
 25.10,   3.59E-011, 
 25.20,   8.36E-011, 
 25.30,   1.52E-010, 
 25.40,   9.20E-011, 
 25.50,   6.00E-011, 
 25.60,   5.83E-011, 
 25.70,   2.19E-011, 
 25.80,   7.01E-011, 
 25.90,   1.43E-010, 
 26.00,   1.16E-010, 
 26.10,   9.65E-011, 
 26.20,   4.04E-011, 
 26.30,   7.74E-011, 
 26.40,   1.18E-010, 
 26.50,   1.39E-010, 
 26.60,   7.96E-011, 
 26.70,   4.15E-011, 
 26.80,   1.11E-010, 
 26.90,   8.86E-011, 
 27.00,   8.92E-011, 
 27.10,   7.80E-011, 
 27.20,   7.07E-011, 
 27.30,   6.84E-011, 
 27.40,   5.22E-011, 
 27.50,   5.10E-011, 
 27.60,   6.28E-011, 
 27.70,   1.01E-010, 
 27.80,   1.18E-010, 
 27.90,   1.62E-010, 
 28.00,   1.33E-010, 
 28.10,   1.31E-010, 
 28.20,   9.76E-011, 
 28.30,   8.19E-011, 
 28.40,   1.10E-010, 
 28.50,   1.76E-010, 
 28.60,   1.40E-010, 
 28.70,   1.27E-010, 
 28.80,   7.68E-011, 
 28.90,   4.66E-011, 
 29.00,   1.11E-010, 
 29.10,   1.63E-010, 
 29.20,   1.37E-010, 
 29.30,   1.70E-010, 
 29.40,   9.42E-011, 
 29.50,   9.31E-011, 
 29.60,   1.21E-010, 
 29.70,   1.41E-010, 
 29.80,   1.51E-010, 
 29.90,   1.65E-010, 
 30.00,   1.39E-010, 
 30.10,   1.08E-010, 
 30.20,   1.15E-010, 
 30.30,   4.15E-011, 
 30.40,   1.12E-012, 
 30.50,   6.00E-011, 
 30.60,   8.36E-011, 
 30.70,   1.47E-010, 
 30.80,   1.26E-010, 
 30.90,   8.75E-011, 
 31.00,   1.21E-010, 
 31.10,   7.35E-011, 
 31.20,   7.29E-011, 
 31.30,   7.74E-011, 
 31.40,   1.13E-010, 
 31.50,   1.12E-010, 
 31.60,   9.81E-011, 
 31.70,   1.47E-010, 
 31.80,   1.14E-010, 
 31.90,   1.50E-010, 
 32.00,   8.58E-011, 
 32.10,   1.45E-010, 
 32.20,   1.37E-010, 
 32.30,   1.12E-010, 
 32.40,   1.12E-010, 
 32.50,   1.14E-010, 
 32.60,   6.73E-011, 
 32.70,   8.41E-011, 
 32.80,   7.91E-011, 
 32.90,   4.88E-011, 
 33.00,   5.83E-011, 
 33.10,   1.19E-010, 
 33.20,   1.81E-010, 
 33.30,   1.84E-010, 
 33.40,   1.21E-010, 
 33.50,   1.37E-010, 
 33.60,   1.55E-010, 
 33.70,   1.68E-010, 
 33.80,   1.47E-010, 
 33.90,   1.57E-010, 
 34.00,   1.08E-010, 
 34.10,   9.59E-011, 
 34.20,   1.16E-010, 
 34.30,   1.06E-010, 
 34.40,   8.86E-011, 
 34.50,   1.27E-010, 
 34.60,   8.30E-011, 
 34.70,   1.16E-010, 
 34.80,   7.52E-011, 
 34.90,   1.21E-010, 
 35.00,   7.52E-011, 
 35.10,   9.48E-011, 
 35.20,   1.12E-010, 
 35.30,   1.18E-010, 
 35.40,   1.30E-010, 
 35.50,   9.70E-011, 
 35.60,   1.27E-010, 
 35.70,   1.70E-010, 
 35.80,   2.23E-010, 
 35.90,   1.58E-010, 
 36.00,   1.44E-010, 
 36.10,   1.57E-010, 
 36.20,   1.52E-010, 
 36.30,   1.14E-010, 
 36.40,   3.37E-011, 
 36.50,   9.53E-012, 
 36.60,   1.26E-010, 
 36.70,   2.12E-010, 
 36.80,   1.92E-010, 
 36.90,   1.31E-010, 
 37.00,   1.13E-010, 
 37.10,   9.93E-011, 
 37.20,   1.14E-010, 
 37.30,   1.21E-010, 
 37.40,   3.31E-011, 
 37.50,   2.75E-011, 
 37.60,   1.04E-010, 
 37.70,   1.75E-010, 
 37.80,   1.91E-010, 
 37.90,   1.07E-010, 
 38.00,   1.45E-010, 
 38.10,   1.48E-010, 
 38.20,   1.56E-010, 
 38.30,   1.42E-010, 
 38.40,   5.05E-011, 
 38.50,   7.29E-012, 
 38.60,  -1.96E-011, 
 38.70,  -6.39E-011, 
