Sep 24, 2019  03:59:31 PM
Residual Gas Analyzer Software 
Software Version, 3.005

vacuum = 10^-5

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.78E-004 
Filament Current, 1.00, mAmps


  1.00,   2.30E-011, 
  1.10,  -4.49E-012, 
  1.20,  -1.68E-011, 
  1.30,  -6.73E-012, 
  1.40,   5.22E-011, 
  1.50,   7.12E-011, 
  1.60,   7.35E-011, 
  1.70,   1.29E-011, 
  1.80,  -2.13E-011, 
  1.90,  -4.32E-011, 
  2.00,  -5.61E-013, 
  2.10,   2.02E-011, 
  2.20,   1.40E-011, 
  2.30,  -4.49E-012, 
  2.40,   1.57E-011, 
  2.50,  -7.07E-011, 
  2.60,  -6.34E-011, 
  2.70,  -1.35E-011, 
  2.80,   3.42E-011, 
  2.90,  -2.13E-011, 
  3.00,  -1.18E-011, 
  3.10,   3.37E-012, 
  3.20,   4.54E-011, 
  3.30,   4.09E-011, 
  3.40,   8.97E-011, 
  3.50,   9.20E-011, 
  3.60,   3.08E-011, 
  3.70,  -8.97E-012, 
  3.80,   1.74E-011, 
  3.90,   4.49E-012, 
  4.00,   3.93E-012, 
  4.10,  -1.51E-011, 
  4.20,  -5.16E-011, 
  4.30,  -8.02E-011, 
  4.40,  -2.75E-011, 
  4.50,  -1.85E-011, 
  4.60,  -2.08E-011, 
  4.70,   5.22E-011, 
  4.80,   1.07E-010, 
  4.90,   3.08E-011, 
  5.00,  -1.85E-011, 
  5.10,   3.37E-012, 
  5.20,   2.19E-011, 
  5.30,   7.74E-011, 
  5.40,   9.31E-011, 
  5.50,   6.73E-011, 
  5.60,   2.30E-011, 
  5.70,   7.01E-011, 
  5.80,   4.88E-011, 
  5.90,   4.15E-011, 
  6.00,   1.29E-011, 
  6.10,   1.51E-011, 
  6.20,  -1.18E-011, 
  6.30,  -3.08E-011, 
  6.40,  -5.10E-011, 
  6.50,  -1.12E-010, 
  6.60,  -1.23E-010, 
  6.70,  -3.76E-011, 
  6.80,   4.15E-011, 
  6.90,   4.21E-011, 
  7.00,  -1.68E-012, 
  7.10,  -1.46E-011, 
  7.20,  -7.18E-011, 
  7.30,  -5.05E-011, 
  7.40,  -8.47E-011, 
  7.50,  -9.03E-011, 
  7.60,  -7.07E-011, 
  7.70,  -2.80E-011, 
  7.80,  -3.48E-011, 
  7.90,   2.64E-011, 
  8.00,  -2.80E-012, 
  8.10,  -2.64E-011, 
  8.20,  -1.68E-011, 
  8.30,   3.48E-011, 
  8.40,  -1.12E-012, 
  8.50,  -7.07E-011, 
  8.60,  -1.12E-010, 
  8.70,  -6.39E-011, 
  8.80,   7.29E-012, 
  8.90,  -2.80E-011, 
  9.00,  -4.82E-011, 
  9.10,  -3.59E-011, 
  9.20,  -1.46E-011, 
  9.30,  -2.02E-011, 
  9.40,   4.32E-011, 
  9.50,  -6.56E-011, 
  9.60,  -5.33E-011, 
  9.70,  -3.76E-011, 
  9.80,  -1.51E-011, 
  9.90,   2.02E-011, 
 10.00,  -2.80E-011, 
 10.10,  -1.14E-010, 
 10.20,  -6.28E-011, 
 10.30,  -4.15E-011, 
 10.40,   1.79E-011, 
 10.50,  -5.05E-011, 
 10.60,  -5.66E-011, 
 10.70,  -1.79E-011, 
 10.80,   5.78E-011, 
 10.90,   3.03E-011, 
 11.00,   7.18E-011, 
 11.10,   1.23E-011, 
 11.20,  -3.93E-011, 
 11.30,  -8.36E-011, 
 11.40,  -2.64E-011, 
 11.50,   3.87E-011, 
 11.60,   7.07E-011, 
 11.70,   2.13E-011, 
 11.80,  -4.60E-011, 
 11.90,  -9.53E-011, 
 12.00,  -8.30E-011, 
 12.10,  -5.44E-011, 
 12.20,  -8.24E-011, 
 12.30,  -6.34E-011, 
 12.40,  -4.71E-011, 
 12.50,  -1.12E-011, 
 12.60,  -1.35E-011, 
 12.70,  -7.18E-011, 
 12.80,  -9.03E-011, 
 12.90,  -8.30E-011, 
 13.00,  -8.52E-011, 
 13.10,  -6.62E-011, 
 13.20,  -1.91E-011, 
 13.30,  -8.13E-011, 
 13.40,  -4.26E-011, 
 13.50,  -4.37E-011, 
 13.60,  -2.86E-011, 
 13.70,  -3.87E-011, 
 13.80,   8.97E-012, 
 13.90,   4.15E-011, 
 14.00,   4.21E-011, 
 14.10,  -6.95E-011, 
 14.20,  -3.65E-011, 
 14.30,  -4.94E-011, 
 14.40,  -8.47E-011, 
 14.50,  -1.23E-010, 
 14.60,  -7.52E-011, 
 14.70,  -5.50E-011, 
 14.80,  -6.28E-011, 
 14.90,   5.27E-011, 
 15.00,   5.61E-011, 
 15.10,   5.05E-012, 
 15.20,  -9.53E-012, 
 15.30,  -2.47E-011, 
 15.40,  -7.68E-011, 
 15.50,  -4.77E-011, 
 15.60,  -2.08E-011, 
 15.70,   9.53E-012, 
 15.80,  -9.81E-011, 
 15.90,  -1.18E-010, 
 16.00,  -9.25E-011, 
 16.10,  -6.73E-011, 
 16.20,  -1.01E-010, 
 16.30,  -9.76E-011, 
 16.40,  -2.41E-011, 
 16.50,  -1.19E-010, 
 16.60,  -1.07E-010, 
 16.70,  -5.22E-011, 
 16.80,   0.00E+000, 
 16.90,   7.52E-011, 
 17.00,   4.77E-011, 
 17.10,   3.37E-011, 
 17.20,   2.52E-011, 
 17.30,  -3.81E-011, 
 17.40,  -7.85E-012, 
 17.50,   4.04E-011, 
 17.60,   4.21E-011, 
 17.70,  -4.26E-011, 
 17.80,   8.41E-012, 
 17.90,  -7.85E-012, 
 18.00,   1.07E-011, 
 18.10,  -3.14E-011, 
 18.20,  -6.45E-011, 
 18.30,  -4.77E-011, 
 18.40,  -1.46E-011, 
 18.50,   3.31E-011, 
 18.60,   7.74E-011, 
 18.70,   4.82E-011, 
 18.80,   1.18E-011, 
 18.90,  -3.93E-011, 
 19.00,  -4.60E-011, 
 19.10,  -7.07E-011, 
 19.20,  -5.16E-011, 
 19.30,  -6.62E-011, 
 19.40,  -6.62E-011, 
 19.50,  -2.47E-011, 
 19.60,  -3.93E-011, 
 19.70,  -1.33E-010, 
 19.80,  -8.08E-011, 
 19.90,  -3.37E-012, 
 20.00,  -1.46E-011, 
 20.10,  -2.24E-012, 
 20.20,  -4.15E-011, 
 20.30,  -2.24E-011, 
 20.40,  -5.22E-011, 
 20.50,  -9.53E-012, 
 20.60,  -9.98E-011, 
 20.70,  -9.59E-011, 
 20.80,  -6.39E-011, 
 20.90,  -4.88E-011, 
 21.00,  -7.63E-011, 
 21.10,  -5.33E-011, 
 21.20,  -2.92E-011, 
 21.30,  -1.05E-010, 
 21.40,  -4.71E-011, 
 21.50,  -9.87E-011, 
 21.60,  -1.39E-010, 
 21.70,  -7.68E-011, 
 21.80,  -6.62E-011, 
 21.90,  -9.03E-011, 
 22.00,  -1.96E-011, 
 22.10,   5.61E-013, 
 22.20,  -5.38E-011, 
 22.30,  -7.91E-011, 
 22.40,  -7.12E-011, 
 22.50,  -7.80E-011, 
 22.60,  -1.07E-010, 
 22.70,  -8.97E-011, 
 22.80,  -5.95E-011, 
 22.90,  -5.22E-011, 
 23.00,   1.85E-011, 
 23.10,   5.16E-011, 
 23.20,  -4.99E-011, 
 23.30,  -5.61E-011, 
 23.40,  -2.08E-011, 
 23.50,   5.61E-013, 
 23.60,   2.75E-011, 
 23.70,  -3.81E-011, 
 23.80,  -3.87E-011, 
 23.90,  -6.56E-011, 
 24.00,  -2.02E-011, 
 24.10,  -1.79E-011, 
 24.20,  -7.74E-011, 
 24.30,   1.57E-011, 
 24.40,   4.26E-011, 
 24.50,  -2.13E-011, 
 24.60,  -8.64E-011, 
 24.70,  -1.23E-010, 
 24.80,  -1.14E-010, 
 24.90,  -3.59E-011, 
 25.00,  -2.47E-011, 
 25.10,  -7.29E-011, 
 25.20,  -7.63E-011, 
 25.30,  -1.12E-011, 
 25.40,  -6.45E-011, 
 25.50,  -8.24E-011, 
 25.60,  -3.87E-011, 
 25.70,  -7.68E-011, 
 25.80,  -1.51E-010, 
 25.90,  -1.03E-010, 
 26.00,  -2.24E-011, 
 26.10,  -1.29E-011, 
 26.20,  -1.96E-011, 
 26.30,  -8.75E-011, 
 26.40,  -6.67E-011, 
 26.50,  -6.51E-011, 
 26.60,  -6.06E-011, 
 26.70,  -3.76E-011, 
 26.80,  -1.13E-010, 
 26.90,  -2.13E-011, 
 27.00,  -1.29E-011, 
 27.10,  -3.59E-011, 
 27.20,  -5.55E-011, 
 27.30,  -9.59E-011, 
 27.40,  -7.35E-011, 
 27.50,  -1.85E-011, 
 27.60,   5.78E-011, 
 27.70,  -5.05E-012, 
 27.80,  -1.35E-011, 
 27.90,  -3.87E-011, 
 28.00,  -9.53E-012, 
 28.10,  -2.19E-011, 
 28.20,   3.37E-012, 
 28.30,   8.75E-011, 
 28.40,   6.23E-011, 
 28.50,   4.26E-011, 
 28.60,   2.13E-011, 
 28.70,   3.08E-011, 
 28.80,   7.96E-011, 
 28.90,   3.70E-011, 
 29.00,  -2.19E-011, 
 29.10,  -9.25E-011, 
 29.20,   1.12E-012, 
 29.30,  -7.29E-012, 
 29.40,  -1.40E-011, 
 29.50,  -2.02E-011, 
 29.60,  -3.14E-011, 
 29.70,  -8.97E-012, 
 29.80,  -4.15E-011, 
 29.90,  -9.09E-011, 
 30.00,  -1.15E-010, 
 30.10,  -8.75E-011, 
 30.20,  -4.99E-011, 
 30.30,  -7.29E-011, 
 30.40,  -1.46E-011, 
 30.50,  -7.85E-012, 
 30.60,   2.80E-011, 
 30.70,   3.81E-011, 
 30.80,  -9.53E-012, 
 30.90,  -6.28E-011, 
 31.00,  -2.36E-011, 
 31.10,   2.52E-011, 
 31.20,  -1.63E-011, 
 31.30,   4.21E-011, 
 31.40,  -1.51E-011, 
 31.50,   4.21E-011, 
 31.60,  -5.05E-012, 
 31.70,  -5.61E-012, 
 31.80,  -2.24E-011, 
 31.90,  -3.98E-011, 
 32.00,  -7.40E-011, 
 32.10,  -6.84E-011, 
 32.20,  -1.09E-010, 
 32.30,  -5.33E-011, 
 32.40,  -8.58E-011, 
 32.50,  -4.04E-011, 
 32.60,  -6.73E-012, 
 32.70,  -5.61E-012, 
 32.80,  -7.63E-011, 
 32.90,  -5.95E-011, 
 33.00,  -4.94E-011, 
 33.10,  -7.35E-011, 
 33.20,  -5.89E-011, 
 33.30,  -7.85E-012, 
 33.40,  -2.24E-011, 
 33.50,  -6.79E-011, 
 33.60,  -1.40E-011, 
 33.70,  -9.53E-012, 
 33.80,  -7.12E-011, 
 33.90,  -1.40E-011, 
 34.00,   4.49E-012, 
 34.10,   1.51E-011, 
 34.20,   8.86E-011, 
 34.30,   7.91E-011, 
 34.40,   1.29E-011, 
 34.50,   2.58E-011, 
 34.60,   2.64E-011, 
 34.70,   1.57E-011, 
 34.80,   1.46E-011, 
 34.90,   6.34E-011, 
 35.00,   2.64E-011, 
 35.10,  -7.29E-012, 
 35.20,  -3.14E-011, 
 35.30,  -4.49E-011, 
 35.40,  -6.11E-011, 
 35.50,  -9.81E-011, 
 35.60,  -3.76E-011, 
 35.70,  -6.51E-011, 
 35.80,  -4.21E-011, 
 35.90,  -8.41E-012, 
 36.00,  -2.36E-011, 
 36.10,   1.68E-012, 
 36.20,  -9.20E-011, 
 36.30,  -6.73E-012, 
 36.40,   5.44E-011, 
 36.50,   6.51E-011, 
 36.60,   5.38E-011, 
 36.70,   5.27E-011, 
 36.80,   5.38E-011, 
 36.90,   2.86E-011, 
 37.00,   1.01E-011, 
 37.10,   7.18E-011, 
