AMU,neon1,neon2,neon3
1,1.87E-09,-5.14E-09,-5.41E-09
1.1,3.47E-09,-0.000000003,-3.63E-09
1.2,1.26E-08,8.48E-08,7.69E-08
1.3,0.000000164,0.000000837,0.000000802
1.4,0.000000249,0.000000708,0.000000669
1.5,0.000000411,0.00000352,0.00000337
1.6,0.000000966,0.00000776,0.00000743
1.7,0.00000202,0.0000129,0.000012
1.8,0.00000289,0.0000158,0.0000144
1.9,0.00000399,0.0000191,0.0000175
2,0.00000534,0.0000206,0.0000185
2.1,0.00000639,0.0000206,0.0000185
2.2,0.00000677,0.0000201,0.0000181
2.3,0.0000068,0.0000166,0.0000149
2.4,0.00000345,0.00000509,0.00000468
2.5,9.98E-08,0.000000105,0.000000096
2.6,1.78E-08,2.48E-08,2.31E-08
2.7,1.05E-08,2.32E-08,2.12E-08
2.8,1.08E-08,3.49E-08,3.08E-08
2.9,1.38E-08,4.98E-08,4.33E-08
3,1.83E-08,5.97E-08,5.11E-08
3.1,2.39E-08,6.86E-08,5.99E-08
3.2,3.12E-08,8.03E-08,7.12E-08
3.3,4.48E-08,9.39E-08,8.62E-08
3.4,7.26E-08,0.00000012,0.000000116
3.5,0.000000174,0.000000334,0.000000334
3.6,0.000000734,0.0000016,0.00000163
3.7,0.00000271,0.00000417,0.00000415
3.8,0.00000428,0.00000614,0.00000608
3.9,0.00000529,0.00000677,0.00000658
4,0.00000612,0.00000771,0.00000753
4.1,0.00000585,0.00000736,0.00000712
4.2,0.00000583,0.00000681,0.00000659
4.3,0.00000456,0.00000474,0.00000461
4.4,0.000000884,0.000000406,0.000000411
4.5,0.000000033,0.000000023,2.25E-08
4.6,9.53E-09,8.11E-09,7.94E-09
4.7,4.3E-09,4.75E-09,4.58E-09
4.8,2.68E-09,4.29E-09,3.98E-09
4.9,2.23E-09,4.75E-09,4.36E-09
5,2.21E-09,5.31E-09,4.81E-09
5.1,2.24E-09,5.69E-09,5.1E-09
5.2,2.28E-09,5.89E-09,5.26E-09
5.3,2.23E-09,5.22E-09,4.78E-09
5.4,1.66E-09,3.27E-09,3.12E-09
5.5,9.44E-10,1.66E-09,1.7E-09
5.6,3.11E-10,8.35E-10,9.36E-10
5.7,-4.6E-11,1.17E-10,3.16E-10
5.8,-1.28E-10,-3.7E-11,5.5E-11
5.9,-1.19E-10,-9.53E-12,5.05E-11
6,-4.26E-11,-7.85E-12,1.57E-11
6.1,6.73E-12,-1.68E-12,1.85E-11
6.2,-4.88E-11,-1.57E-11,1.01E-11
6.3,-7.74E-11,-2.13E-11,3.93E-12
6.4,-9.37E-11,5.61E-11,-1.79E-11
6.5,-1.85E-11,3.2E-11,-3.37E-11
6.6,6.17E-12,-3.93E-12,8.64E-11
6.7,4.21E-11,1.18E-11,9.93E-11
6.8,1.53E-10,4.15E-11,1.9E-10
6.9,2.41E-10,1.26E-10,1.24E-10
7,2.02E-10,2.56E-10,1.22E-10
7.1,1.78E-10,2.78E-10,1.52E-10
7.2,2.18E-10,2.59E-10,2E-10
7.3,2.32E-10,2.52E-10,2E-10
7.4,1.67E-10,1.61E-10,1.21E-10
7.5,1.23E-10,1.31E-10,1.12E-10
7.6,6.51E-11,9.81E-11,1.35E-10
7.7,9.65E-11,1.32E-10,2.22E-10
7.8,1.86E-10,1.41E-10,2.91E-10
7.9,3.28E-10,2.84E-10,3.58E-10
8,4.48E-10,2.91E-10,3.62E-10
8.1,6.93E-10,6E-10,4.01E-10
8.2,5.38E-10,6.35E-10,3.98E-10
8.3,5.66E-10,5.59E-10,3.34E-10
8.4,1.44E-10,4.37E-10,2.09E-10
8.5,1.49E-10,5.44E-11,2.92E-10
8.6,2.24E-10,9.42E-11,3.34E-10
8.7,2.97E-10,1.18E-10,3.22E-10
8.8,2.36E-10,1.9E-10,2.35E-10
8.9,1.97E-10,1.57E-10,1.6E-10
9,2.19E-10,1.15E-10,2.94E-10
9.1,1.14E-10,1.17E-10,2.46E-10
9.2,4.94E-11,1.27E-10,2.09E-10
9.3,8.69E-11,5.66E-11,2.01E-10
9.4,1.3E-10,1.12E-12,2.42E-10
9.5,8.02E-11,1.74E-11,2.57E-10
9.6,6.28E-11,6.06E-11,2.71E-10
9.7,8.36E-11,2.36E-11,3.15E-10
9.8,6.17E-11,1.57E-11,1.78E-10
9.9,1.33E-10,5.5E-11,1.48E-10
