Sep 26, 2019  03:46:27 PM
Residual Gas Analyzer Software 
Software Version, 3.005

vaccum 10^-5

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.78E-004 
Filament Current, 1.00, mAmps


  1.00,   1.87E-009, 
  1.10,   3.47E-009, 
  1.20,   1.26E-008, 
  1.30,   1.64E-007, 
  1.40,   2.49E-007, 
  1.50,   4.11E-007, 
  1.60,   9.66E-007, 
  1.70,   2.02E-006, 
  1.80,   2.89E-006, 
  1.90,   3.99E-006, 
  2.00,   5.34E-006, 
  2.10,   6.39E-006, 
  2.20,   6.77E-006, 
  2.30,   6.80E-006, 
  2.40,   3.45E-006, 
  2.50,   9.98E-008, 
  2.60,   1.78E-008, 
  2.70,   1.05E-008, 
  2.80,   1.08E-008, 
  2.90,   1.38E-008, 
  3.00,   1.83E-008, 
  3.10,   2.39E-008, 
  3.20,   3.12E-008, 
  3.30,   4.48E-008, 
  3.40,   7.26E-008, 
  3.50,   1.74E-007, 
  3.60,   7.34E-007, 
  3.70,   2.71E-006, 
  3.80,   4.28E-006, 
  3.90,   5.29E-006, 
  4.00,   6.12E-006, 
  4.10,   5.85E-006, 
  4.20,   5.83E-006, 
  4.30,   4.56E-006, 
  4.40,   8.84E-007, 
  4.50,   3.30E-008, 
  4.60,   9.53E-009, 
  4.70,   4.30E-009, 
  4.80,   2.68E-009, 
  4.90,   2.23E-009, 
  5.00,   2.21E-009, 
  5.10,   2.24E-009, 
  5.20,   2.28E-009, 
  5.30,   2.23E-009, 
  5.40,   1.66E-009, 
  5.50,   9.44E-010, 
  5.60,   3.11E-010, 
  5.70,  -4.60E-011, 
  5.80,  -1.28E-010, 
  5.90,  -1.19E-010, 
  6.00,  -4.26E-011, 
  6.10,   6.73E-012, 
  6.20,  -4.88E-011, 
  6.30,  -7.74E-011, 
  6.40,  -9.37E-011, 
  6.50,  -1.85E-011, 
  6.60,   6.17E-012, 
  6.70,   4.21E-011, 
  6.80,   1.53E-010, 
  6.90,   2.41E-010, 
  7.00,   2.02E-010, 
  7.10,   1.78E-010, 
  7.20,   2.18E-010, 
  7.30,   2.32E-010, 
  7.40,   1.67E-010, 
  7.50,   1.23E-010, 
  7.60,   6.51E-011, 
  7.70,   9.65E-011, 
  7.80,   1.86E-010, 
  7.90,   3.28E-010, 
  8.00,   4.48E-010, 
  8.10,   6.93E-010, 
  8.20,   5.38E-010, 
  8.30,   5.66E-010, 
  8.40,   1.44E-010, 
  8.50,   1.49E-010, 
  8.60,   2.24E-010, 
  8.70,   2.97E-010, 
  8.80,   2.36E-010, 
  8.90,   1.97E-010, 
  9.00,   2.19E-010, 
  9.10,   1.14E-010, 
  9.20,   4.94E-011, 
  9.30,   8.69E-011, 
  9.40,   1.30E-010, 
  9.50,   8.02E-011, 
  9.60,   6.28E-011, 
  9.70,   8.36E-011, 
  9.80,   6.17E-011, 
  9.90,   1.33E-010, 
 10.00,   1.22E-010, 
 10.10,   1.19E-010, 
 10.20,   1.15E-010, 
 10.30,   2.02E-010, 
 10.40,   1.77E-010, 
 10.50,   9.98E-011, 
 10.60,   1.70E-010, 
 10.70,   1.60E-010, 
 10.80,   1.64E-010, 
 10.90,   2.04E-010, 
 11.00,   1.86E-010, 
 11.10,   1.88E-010, 
 11.20,   2.29E-010, 
 11.30,   2.98E-010, 
 11.40,   5.29E-010, 
 11.50,   9.63E-010, 
 11.60,   2.65E-009, 
 11.70,   8.78E-009, 
 11.80,   1.80E-008, 
 11.90,   2.66E-008, 
 12.00,   3.17E-008, 
 12.10,   3.26E-008, 
 12.20,   3.13E-008, 
 12.30,   2.64E-008, 
 12.40,   1.28E-008, 
 12.50,   5.53E-009, 
 12.60,   3.27E-009, 
 12.70,   2.62E-009, 
 12.80,   2.92E-009, 
 12.90,   3.62E-009, 
 13.00,   4.48E-009, 
 13.10,   5.43E-009, 
 13.20,   6.79E-009, 
 13.30,   9.46E-009, 
 13.40,   1.66E-008, 
 13.50,   5.94E-008, 
 13.60,   3.98E-007, 
 13.70,   9.78E-007, 
 13.80,   1.35E-006, 
 13.90,   1.60E-006, 
 14.00,   1.73E-006, 
 14.10,   1.70E-006, 
 14.20,   1.53E-006, 
 14.30,   1.19E-006, 
 14.40,   1.17E-007, 
 14.50,   1.72E-008, 
 14.60,   1.30E-008, 
 14.70,   2.53E-008, 
 14.80,   4.45E-008, 
 14.90,   5.62E-008, 
 15.00,   6.59E-008, 
 15.10,   6.64E-008, 
 15.20,   6.61E-008, 
 15.30,   6.00E-008, 
 15.40,   3.37E-008, 
 15.50,   3.83E-008, 
 15.60,   2.13E-007, 
 15.70,   5.12E-007, 
 15.80,   7.16E-007, 
 15.90,   8.50E-007, 
 16.00,   9.18E-007, 
 16.10,   9.02E-007, 
 16.20,   8.19E-007, 
 16.30,   6.54E-007, 
 16.40,   1.10E-007, 
 16.50,   1.14E-007, 
 16.60,   6.10E-007, 
 16.70,   1.42E-006, 
 16.80,   1.99E-006, 
 16.90,   2.35E-006, 
 17.00,   2.59E-006, 
 17.10,   2.53E-006, 
 17.20,   2.33E-006, 
 17.30,   2.00E-006, 
 17.40,   3.24E-007, 
 17.50,   5.12E-007, 
 17.60,   2.55E-006, 
 17.70,   5.88E-006, 
 17.80,   8.24E-006, 
 17.90,   9.59E-006, 
 18.00,   1.07E-005, 
 18.10,   1.04E-005, 
 18.20,   9.83E-006, 
 18.30,   8.65E-006, 
 18.40,   9.87E-007, 
 18.50,   3.81E-008, 
 18.60,   1.82E-008, 
 18.70,   2.82E-008, 
 18.80,   4.88E-008, 
 18.90,   6.52E-008, 
 19.00,   8.05E-008, 
 19.10,   8.54E-008, 
 19.20,   9.96E-008, 
 19.30,   1.30E-007, 
 19.40,   2.05E-007, 
 19.50,   7.70E-007, 
 19.60,   3.30E-006, 
 19.70,   6.45E-006, 
 19.80,   8.52E-006, 
 19.90,   9.91E-006, 
 20.00,   1.06E-005, 
 20.10,   1.04E-005, 
 20.20,   9.51E-006, 
 20.30,   7.79E-006, 
 20.40,   4.29E-007, 
 20.50,   2.92E-008, 
 20.60,   1.39E-008, 
 20.70,   1.67E-008, 
 20.80,   2.50E-008, 
 20.90,   3.20E-008, 
 21.00,   3.79E-008, 
 21.10,   3.88E-008, 
 21.20,   3.93E-008, 
 21.30,   3.90E-008, 
 21.40,   2.75E-008, 
 21.50,   5.75E-008, 
 21.60,   2.98E-007, 
 21.70,   6.31E-007, 
 21.80,   8.54E-007, 
 21.90,   9.98E-007, 
 22.00,   1.06E-006, 
 22.10,   1.03E-006, 
 22.20,   9.36E-007, 
 22.30,   7.96E-007, 
 22.40,   8.64E-008, 
 22.50,   1.22E-008, 
 22.60,   4.93E-009, 
 22.70,   2.54E-009, 
 22.80,   1.69E-009, 
 22.90,   1.34E-009, 
 23.00,   1.22E-009, 
 23.10,   1.15E-009, 
 23.20,   1.16E-009, 
 23.30,   1.08E-009, 
 23.40,   8.01E-010, 
 23.50,   2.50E-010, 
 23.60,   1.31E-010, 
 23.70,   2.10E-010, 
 23.80,   2.30E-010, 
 23.90,   2.83E-010, 
 24.00,   1.68E-010, 
 24.10,   1.76E-010, 
 24.20,   2.66E-010, 
 24.30,   3.27E-010, 
 24.40,   2.71E-010, 
 24.50,   2.26E-010, 
 24.60,   1.85E-010, 
 24.70,   3.20E-010, 
 24.80,   3.16E-010, 
 24.90,   6.00E-010, 
 25.00,   8.16E-010, 
 25.10,   8.53E-010, 
 25.20,   9.27E-010, 
 25.30,   8.67E-010, 
 25.40,   8.61E-010, 
 25.50,   7.99E-010, 
 25.60,   1.09E-009, 
 25.70,   2.04E-009, 
 25.80,   3.43E-009, 
 25.90,   4.81E-009, 
 26.00,   6.12E-009, 
 26.10,   6.98E-009, 
 26.20,   7.60E-009, 
 26.30,   7.85E-009, 
 26.40,   7.00E-009, 
 26.50,   6.07E-009, 
 26.60,   8.00E-009, 
 26.70,   1.45E-008, 
 26.80,   2.47E-008, 
 26.90,   3.62E-008, 
 27.00,   5.55E-008, 
 27.10,   8.38E-008, 
 27.20,   1.41E-007, 
 27.30,   2.69E-007, 
 27.40,   6.17E-007, 
 27.50,   1.87E-006, 
 27.60,   7.19E-006, 
 27.70,   1.57E-005, 
 27.80,   2.22E-005, 
 27.90,   2.64E-005, 
 28.00,   3.13E-005, 
 28.10,   3.09E-005, 
 28.20,   3.01E-005, 
 28.30,   2.71E-005, 
 28.40,   5.81E-006, 
 28.50,   1.14E-007, 
 28.60,   1.13E-007, 
 28.70,   2.58E-007, 
 28.80,   3.82E-007, 
 28.90,   4.68E-007, 
 29.00,   5.51E-007, 
 29.10,   5.39E-007, 
 29.20,   5.17E-007, 
 29.30,   4.74E-007, 
 29.40,   1.56E-007, 
 29.50,   6.68E-008, 
 29.60,   3.03E-007, 
 29.70,   6.47E-007, 
 29.80,   9.00E-007, 
 29.90,   1.06E-006, 
 30.00,   1.19E-006, 
 30.10,   1.16E-006, 
 30.20,   1.08E-006, 
 30.30,   9.87E-007, 
 30.40,   1.99E-007, 
 30.50,   1.80E-008, 
 30.60,   8.33E-009, 
 30.70,   8.12E-009, 
 30.80,   1.08E-008, 
 30.90,   1.47E-008, 
 31.00,   2.03E-008, 
 31.10,   2.80E-008, 
 31.20,   4.34E-008, 
 31.30,   7.89E-008, 
 31.40,   1.67E-007, 
 31.50,   5.61E-007, 
 31.60,   2.35E-006, 
 31.70,   4.33E-006, 
 31.80,   5.65E-006, 
 31.90,   6.49E-006, 
 32.00,   7.33E-006, 
 32.10,   7.13E-006, 
 32.20,   6.59E-006, 
 32.30,   5.92E-006, 
 32.40,   7.77E-007, 
 32.50,   3.11E-008, 
 32.60,   1.20E-008, 
 32.70,   1.12E-008, 
 32.80,   1.43E-008, 
 32.90,   1.81E-008, 
 33.00,   2.23E-008, 
 33.10,   2.39E-008, 
 33.20,   2.37E-008, 
 33.30,   2.22E-008, 
 33.40,   1.55E-008, 
 33.50,   7.47E-009, 
 33.60,   7.50E-009, 
 33.70,   1.20E-008, 
 33.80,   1.84E-008, 
 33.90,   2.32E-008, 
 34.00,   2.76E-008, 
 34.10,   2.84E-008, 
 34.20,   2.81E-008, 
 34.30,   2.56E-008, 
 34.40,   1.69E-008, 
 34.50,   6.86E-009, 
 34.60,   3.29E-009, 
 34.70,   1.85E-009, 
 34.80,   1.25E-009, 
 34.90,   9.73E-010, 
 35.00,   8.29E-010, 
 35.10,   8.10E-010, 
 35.20,   7.68E-010, 
 35.30,   6.65E-010, 
 35.40,   5.74E-010, 
 35.50,   5.20E-010, 
 35.60,   7.55E-010, 
 35.70,   1.15E-009, 
 35.80,   1.65E-009, 
 35.90,   2.10E-009, 
 36.00,   2.57E-009, 
 36.10,   2.88E-009, 
 36.20,   3.14E-009, 
 36.30,   3.07E-009, 
 36.40,   2.28E-009, 
 36.50,   1.34E-009, 
 36.60,   7.85E-010, 
 36.70,   5.90E-010, 
 36.80,   3.56E-010, 
 36.90,   2.75E-010, 
 37.00,   3.10E-010, 
 37.10,   3.39E-010, 
 37.20,   3.41E-010, 
 37.30,   3.70E-010, 
 37.40,   3.76E-010, 
 37.50,   4.05E-010, 
 37.60,   6.16E-010, 
 37.70,   7.96E-010, 
 37.80,   8.58E-010, 
 37.90,   9.88E-010, 
 38.00,   1.09E-009, 
 38.10,   1.07E-009, 
 38.20,   1.11E-009, 
 38.30,   1.17E-009, 
 38.40,   1.08E-009, 
 38.50,   8.07E-010, 
 38.60,   7.06E-010, 
 38.70,   7.56E-010, 
 38.80,   9.23E-010, 
