Sep 26, 2019  03:47:07 PM
Residual Gas Analyzer Software 
Software Version, 3.005

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.78E-004 
Filament Current, 1.00, mAmps


  1.00,  -5.14E-009, 
  1.10,  -3.00E-009, 
  1.20,   8.48E-008, 
  1.30,   8.37E-007, 
  1.40,   7.08E-007, 
  1.50,   3.52E-006, 
  1.60,   7.76E-006, 
  1.70,   1.29E-005, 
  1.80,   1.58E-005, 
  1.90,   1.91E-005, 
  2.00,   2.06E-005, 
  2.10,   2.06E-005, 
  2.20,   2.01E-005, 
  2.30,   1.66E-005, 
  2.40,   5.09E-006, 
  2.50,   1.05E-007, 
  2.60,   2.48E-008, 
  2.70,   2.32E-008, 
  2.80,   3.49E-008, 
  2.90,   4.98E-008, 
  3.00,   5.97E-008, 
  3.10,   6.86E-008, 
  3.20,   8.03E-008, 
  3.30,   9.39E-008, 
  3.40,   1.20E-007, 
  3.50,   3.34E-007, 
  3.60,   1.60E-006, 
  3.70,   4.17E-006, 
  3.80,   6.14E-006, 
  3.90,   6.77E-006, 
  4.00,   7.71E-006, 
  4.10,   7.36E-006, 
  4.20,   6.81E-006, 
  4.30,   4.74E-006, 
  4.40,   4.06E-007, 
  4.50,   2.30E-008, 
  4.60,   8.11E-009, 
  4.70,   4.75E-009, 
  4.80,   4.29E-009, 
  4.90,   4.75E-009, 
  5.00,   5.31E-009, 
  5.10,   5.69E-009, 
  5.20,   5.89E-009, 
  5.30,   5.22E-009, 
  5.40,   3.27E-009, 
  5.50,   1.66E-009, 
  5.60,   8.35E-010, 
  5.70,   1.17E-010, 
  5.80,  -3.70E-011, 
  5.90,  -9.53E-012, 
  6.00,  -7.85E-012, 
  6.10,  -1.68E-012, 
  6.20,  -1.57E-011, 
  6.30,  -2.13E-011, 
  6.40,   5.61E-011, 
  6.50,   3.20E-011, 
  6.60,  -3.93E-012, 
  6.70,   1.18E-011, 
  6.80,   4.15E-011, 
  6.90,   1.26E-010, 
  7.00,   2.56E-010, 
  7.10,   2.78E-010, 
  7.20,   2.59E-010, 
  7.30,   2.52E-010, 
  7.40,   1.61E-010, 
  7.50,   1.31E-010, 
  7.60,   9.81E-011, 
  7.70,   1.32E-010, 
  7.80,   1.41E-010, 
  7.90,   2.84E-010, 
  8.00,   2.91E-010, 
  8.10,   6.00E-010, 
  8.20,   6.35E-010, 
  8.30,   5.59E-010, 
  8.40,   4.37E-010, 
  8.50,   5.44E-011, 
  8.60,   9.42E-011, 
  8.70,   1.18E-010, 
  8.80,   1.90E-010, 
  8.90,   1.57E-010, 
  9.00,   1.15E-010, 
  9.10,   1.17E-010, 
  9.20,   1.27E-010, 
  9.30,   5.66E-011, 
  9.40,   1.12E-012, 
  9.50,   1.74E-011, 
  9.60,   6.06E-011, 
  9.70,   2.36E-011, 
  9.80,   1.57E-011, 
  9.90,   5.50E-011, 
 10.00,   1.23E-010, 
 10.10,   1.84E-010, 
 10.20,   2.52E-010, 
 10.30,   1.73E-010, 
 10.40,   1.90E-010, 
 10.50,   2.12E-010, 
 10.60,   1.85E-010, 
 10.70,   1.65E-010, 
 10.80,   2.02E-010, 
 10.90,   2.37E-010, 
 11.00,   3.08E-010, 
 11.10,   3.38E-010, 
 11.20,   2.84E-010, 
 11.30,   2.64E-010, 
 11.40,   4.08E-010, 
 11.50,   1.08E-009, 
 11.60,   3.04E-009, 
 11.70,   7.99E-009, 
 11.80,   1.39E-008, 
 11.90,   1.87E-008, 
 12.00,   2.14E-008, 
 12.10,   2.16E-008, 
 12.20,   2.03E-008, 
 12.30,   1.58E-008, 
 12.40,   7.35E-009, 
 12.50,   3.60E-009, 
 12.60,   2.27E-009, 
 12.70,   2.02E-009, 
 12.80,   2.22E-009, 
 12.90,   2.59E-009, 
 13.00,   3.25E-009, 
 13.10,   3.95E-009, 
 13.20,   5.37E-009, 
 13.30,   8.58E-009, 
 13.40,   1.97E-008, 
 13.50,   1.16E-007, 
 13.60,   5.42E-007, 
 13.70,   1.01E-006, 
 13.80,   1.27E-006, 
 13.90,   1.45E-006, 
 14.00,   1.46E-006, 
 14.10,   1.43E-006, 
 14.20,   1.23E-006, 
 14.30,   6.60E-007, 
 14.40,   3.81E-008, 
 14.50,   1.24E-008, 
 14.60,   1.31E-008, 
 14.70,   2.43E-008, 
 14.80,   3.65E-008, 
 14.90,   4.40E-008, 
 15.00,   4.95E-008, 
 15.10,   4.89E-008, 
 15.20,   4.71E-008, 
 15.30,   4.07E-008, 
 15.40,   2.43E-008, 
 15.50,   7.09E-008, 
 15.60,   3.04E-007, 
 15.70,   5.60E-007, 
 15.80,   7.03E-007, 
 15.90,   8.06E-007, 
 16.00,   8.11E-007, 
 16.10,   7.95E-007, 
 16.20,   6.91E-007, 
 16.30,   3.94E-007, 
 16.40,   6.88E-008, 
 16.50,   2.47E-007, 
 16.60,   9.40E-007, 
 16.70,   1.69E-006, 
 16.80,   2.07E-006, 
 16.90,   2.40E-006, 
 17.00,   2.41E-006, 
 17.10,   2.40E-006, 
 17.20,   2.09E-006, 
 17.30,   1.24E-006, 
 17.40,   2.42E-007, 
 17.50,   1.07E-006, 
 17.60,   3.81E-006, 
 17.70,   6.76E-006, 
 17.80,   8.41E-006, 
 17.90,   9.65E-006, 
 18.00,   9.87E-006, 
 18.10,   9.78E-006, 
 18.20,   8.64E-006, 
 18.30,   5.34E-006, 
 18.40,   1.26E-007, 
 18.50,   2.28E-008, 
 18.60,   2.21E-008, 
 18.70,   4.33E-008, 
 18.80,   6.63E-008, 
 18.90,   8.02E-008, 
 19.00,   9.27E-008, 
 19.10,   9.85E-008, 
 19.20,   1.13E-007, 
 19.30,   1.59E-007, 
 19.40,   3.37E-007, 
 19.50,   1.69E-006, 
 19.60,   4.84E-006, 
 19.70,   7.75E-006, 
 19.80,   9.03E-006, 
 19.90,   1.03E-005, 
 20.00,   1.01E-005, 
 20.10,   1.02E-005, 
 20.20,   8.86E-006, 
 20.30,   4.01E-006, 
 20.40,   7.86E-008, 
 20.50,   1.82E-008, 
 20.60,   1.50E-008, 
 20.70,   2.34E-008, 
 20.80,   3.26E-008, 
 20.90,   3.89E-008, 
 21.00,   4.21E-008, 
 21.10,   4.26E-008, 
 21.20,   4.13E-008, 
 21.30,   3.66E-008, 
 21.40,   3.05E-008, 
 21.50,   1.46E-007, 
 21.60,   4.64E-007, 
 21.70,   7.72E-007, 
 21.80,   9.03E-007, 
 21.90,   1.04E-006, 
 22.00,   9.91E-007, 
 22.10,   1.00E-006, 
 22.20,   8.65E-007, 
 22.30,   4.23E-007, 
 22.40,   2.55E-008, 
 22.50,   7.60E-009, 
 22.60,   3.46E-009, 
 22.70,   2.14E-009, 
 22.80,   1.70E-009, 
 22.90,   1.49E-009, 
 23.00,   1.38E-009, 
 23.10,   1.36E-009, 
 23.20,   1.37E-009, 
 23.30,   1.18E-009, 
 23.40,   7.25E-010, 
 23.50,   2.90E-010, 
 23.60,   3.76E-011, 
 23.70,   4.71E-011, 
 23.80,   1.45E-010, 
 23.90,   1.49E-010, 
 24.00,   1.79E-010, 
 24.10,   1.58E-010, 
 24.20,   1.55E-010, 
 24.30,   1.70E-010, 
 24.40,   1.60E-010, 
 24.50,   2.49E-010, 
 24.60,   2.69E-010, 
 24.70,   5.59E-010, 
 24.80,   6.92E-010, 
 24.90,   6.51E-010, 
 25.00,   6.12E-010, 
 25.10,   5.93E-010, 
 25.20,   6.65E-010, 
 25.30,   7.49E-010, 
 25.40,   6.84E-010, 
 25.50,   7.13E-010, 
 25.60,   1.21E-009, 
 25.70,   2.17E-009, 
 25.80,   3.28E-009, 
 25.90,   4.33E-009, 
 26.00,   5.25E-009, 
 26.10,   5.77E-009, 
 26.20,   6.03E-009, 
 26.30,   5.94E-009, 
 26.40,   5.05E-009, 
 26.50,   5.21E-009, 
 26.60,   8.41E-009, 
 26.70,   1.47E-008, 
 26.80,   2.31E-008, 
 26.90,   3.38E-008, 
 27.00,   5.30E-008, 
 27.10,   8.60E-008, 
 27.20,   1.58E-007, 
 27.30,   3.40E-007, 
 27.40,   9.03E-007, 
 27.50,   3.55E-006, 
 27.60,   1.03E-005, 
 27.70,   1.69E-005, 
 27.80,   2.11E-005, 
 27.90,   2.49E-005, 
 28.00,   2.64E-005, 
 28.10,   2.62E-005, 
 28.20,   2.27E-005, 
 28.30,   1.45E-005, 
 28.40,   3.51E-007, 
 28.50,   7.59E-008, 
 28.60,   1.86E-007, 
 28.70,   3.26E-007, 
 28.80,   4.17E-007, 
 28.90,   5.08E-007, 
 29.00,   5.20E-007, 
 29.10,   5.14E-007, 
 29.20,   4.49E-007, 
 29.30,   3.18E-007, 
 29.40,   5.68E-008, 
 29.50,   1.40E-007, 
 29.60,   4.42E-007, 
 29.70,   7.15E-007, 
 29.80,   8.60E-007, 
 29.90,   1.02E-006, 
 30.00,   1.01E-006, 
 30.10,   9.97E-007, 
 30.20,   8.64E-007, 
 30.30,   4.92E-007, 
 30.40,   3.52E-008, 
 30.50,   9.86E-009, 
 30.60,   6.90E-009, 
 30.70,   7.96E-009, 
 30.80,   1.06E-008, 
 30.90,   1.43E-008, 
 31.00,   1.96E-008, 
 31.10,   2.80E-008, 
 31.20,   4.63E-008, 
 31.30,   9.49E-008, 
 31.40,   2.54E-007, 
 31.50,   1.16E-006, 
 31.60,   2.98E-006, 
 31.70,   4.35E-006, 
 31.80,   5.03E-006, 
 31.90,   5.92E-006, 
 32.00,   5.86E-006, 
 32.10,   5.75E-006, 
 32.20,   5.05E-006, 
 32.30,   2.34E-006, 
 32.40,   6.92E-008, 
 32.50,   1.41E-008, 
 32.60,   9.96E-009, 
 32.70,   1.20E-008, 
 32.80,   1.56E-008, 
 32.90,   1.94E-008, 
 33.00,   2.22E-008, 
 33.10,   2.24E-008, 
 33.20,   2.13E-008, 
 33.30,   1.78E-008, 
 33.40,   8.60E-009, 
 33.50,   6.14E-009, 
 33.60,   8.49E-009, 
 33.70,   1.30E-008, 
 33.80,   1.72E-008, 
 33.90,   2.10E-008, 
 34.00,   2.31E-008, 
 34.10,   2.32E-008, 
 34.20,   2.17E-008, 
 34.30,   1.79E-008, 
 34.40,   8.34E-009, 
 34.50,   3.91E-009, 
 34.60,   2.20E-009, 
 34.70,   1.40E-009, 
 34.80,   1.04E-009, 
 34.90,   8.61E-010, 
 35.00,   7.66E-010, 
 35.10,   6.41E-010, 
 35.20,   6.23E-010, 
 35.30,   5.88E-010, 
 35.40,   3.26E-010, 
 35.50,   3.80E-010, 
 35.60,   1.03E-009, 
 35.70,   1.39E-009, 
 35.80,   1.80E-009, 
 35.90,   2.17E-009, 
 36.00,   2.42E-009, 
 36.10,   2.51E-009, 
 36.20,   2.39E-009, 
 36.30,   2.00E-009, 
 36.40,   1.27E-009, 
 36.50,   9.13E-010, 
 36.60,   6.61E-010, 
 36.70,   2.89E-010, 
 36.80,   2.12E-010, 
 36.90,   2.56E-010, 
 37.00,   3.32E-010, 
 37.10,   5.93E-010, 
 37.20,   5.91E-010, 
 37.30,   4.47E-010, 
 37.40,   1.72E-010, 
 37.50,   2.20E-010, 
 37.60,   3.01E-010, 
 37.70,   6.93E-010, 
 37.80,   8.24E-010, 
 37.90,   9.39E-010, 
 38.00,   9.24E-010, 
 38.10,   9.77E-010, 
 38.20,   1.00E-009, 
 38.30,   9.74E-010, 
 38.40,   7.01E-010, 
 38.50,   6.18E-010, 
 38.60,   6.22E-010, 
 38.70,   7.74E-010, 
 38.80,   9.88E-010, 
