Time,H2,He,O2,N2
0,7.30E-09,8.22E-07,3.65E-07,2.41E-06
2.016,2.84E-06,5.18E-06,4.39E-07,1.97E-06
4.016,2.70E-06,3.19E-06,5.34E-08,5.74E-08
6.016,2.75E-06,3.05E-06,5.33E-08,5.64E-08
8.016,2.85E-06,2.94E-06,5.27E-08,5.48E-08
10.016,2.95E-06,2.83E-06,5.32E-08,5.42E-08
12.016,3.03E-06,2.73E-06,5.33E-08,5.36E-08
14.016,3.08E-06,2.62E-06,5.33E-08,5.28E-08
16.016,3.15E-06,2.52E-06,5.33E-08,5.28E-08
18.016,3.21E-06,2.42E-06,5.27E-08,5.26E-08
20.016,3.28E-06,2.33E-06,5.30E-08,5.23E-08
22.016,3.32E-06,2.24E-06,5.32E-08,5.26E-08
24.063,3.36E-06,2.16E-06,5.29E-08,5.24E-08
26.016,3.40E-06,2.08E-06,5.27E-08,5.19E-08
28.016,3.44E-06,2.01E-06,5.30E-08,5.16E-08
30.016,3.47E-06,1.93E-06,5.24E-08,5.14E-08
32.016,3.51E-06,1.86E-06,5.26E-08,5.14E-08
34.016,3.54E-06,1.79E-06,5.21E-08,5.08E-08
36.016,3.57E-06,1.72E-06,5.22E-08,5.09E-08
38.016,3.60E-06,1.66E-06,5.19E-08,5.05E-08
40.016,3.61E-06,1.60E-06,5.21E-08,5.08E-08
42.016,3.63E-06,1.54E-06,5.18E-08,4.99E-08
44.016,3.67E-06,1.48E-06,5.20E-08,5.00E-08
46.016,3.68E-06,1.43E-06,5.20E-08,5.06E-08
48.016,3.68E-06,1.38E-06,5.13E-08,5.01E-08
50.016,3.70E-06,1.34E-06,5.17E-08,5.07E-08
52.016,3.72E-06,1.29E-06,5.14E-08,5.00E-08
54.016,3.75E-06,1.25E-06,5.13E-08,4.99E-08
56.016,3.73E-06,1.21E-06,5.09E-08,4.96E-08
58.016,3.76E-06,1.17E-06,5.09E-08,4.94E-08
60.016,3.77E-06,1.12E-06,5.10E-08,4.99E-08
62.016,3.79E-06,1.08E-06,5.10E-08,4.96E-08
64.016,3.78E-06,1.05E-06,5.08E-08,4.93E-08
66.016,3.80E-06,1.01E-06,5.09E-08,4.94E-08
68.016,3.81E-06,9.78E-07,5.04E-08,4.92E-08
70.016,3.82E-06,9.44E-07,5.09E-08,4.90E-08
72.016,3.82E-06,9.07E-07,5.03E-08,4.92E-08
74.016,3.81E-06,8.80E-07,4.98E-08,4.91E-08
76.016,3.84E-06,8.52E-07,4.99E-08,4.92E-08
78.016,3.85E-06,8.21E-07,4.98E-08,4.88E-08
80.016,3.85E-06,7.88E-07,4.97E-08,4.88E-08
82.016,3.86E-06,7.63E-07,5.00E-08,4.87E-08
84.016,3.86E-06,7.39E-07,4.98E-08,4.86E-08
86.016,3.86E-06,7.17E-07,4.95E-08,4.89E-08
88.016,3.88E-06,6.88E-07,4.94E-08,4.88E-08
90.016,3.88E-06,6.69E-07,4.96E-08,4.89E-08
92.016,3.92E-06,6.47E-07,4.92E-08,4.85E-08
94.016,3.89E-06,6.24E-07,4.91E-08,4.91E-08
96.016,3.90E-06,6.01E-07,4.94E-08,4.87E-08
98.016,3.90E-06,5.82E-07,4.90E-08,4.84E-08
100.016,3.91E-06,5.65E-07,4.95E-08,4.84E-08
102.016,3.91E-06,5.46E-07,4.90E-08,4.89E-08
104.016,3.91E-06,5.23E-07,4.90E-08,4.87E-08
106.016,3.92E-06,5.08E-07,4.84E-08,4.86E-08
108.016,3.92E-06,4.89E-07,4.90E-08,4.84E-08
110.016,3.92E-06,4.73E-07,4.90E-08,4.87E-08
112.016,3.93E-06,4.59E-07,4.91E-08,4.84E-08
114.016,3.96E-06,4.39E-07,4.91E-08,4.86E-08
116.016,3.96E-06,4.23E-07,4.83E-08,4.85E-08
118.016,3.95E-06,4.06E-07,4.83E-08,4.82E-08
120.016,3.94E-06,3.95E-07,4.86E-08,4.83E-08
122.016,3.95E-06,3.80E-07,4.89E-08,4.86E-08
124.016,3.95E-06,3.69E-07,4.83E-08,4.84E-08
126.016,3.96E-06,3.56E-07,4.80E-08,4.82E-08
128.016,3.96E-06,3.44E-07,4.81E-08,4.85E-08
130.016,3.98E-06,3.35E-07,4.83E-08,4.85E-08
132.016,3.97E-06,3.24E-07,4.81E-08,4.84E-08
134.016,3.98E-06,3.15E-07,4.85E-08,4.82E-08
136.016,3.97E-06,3.05E-07,4.78E-08,4.82E-08
138.016,3.97E-06,2.95E-07,4.77E-08,4.83E-08
140.016,3.98E-06,2.86E-07,4.79E-08,4.83E-08
142.016,3.98E-06,2.79E-07,4.77E-08,4.81E-08
144.016,3.98E-06,2.69E-07,4.79E-08,4.78E-08
146.016,3.99E-06,2.62E-07,4.78E-08,4.82E-08
148.016,4.00E-06,2.54E-07,4.80E-08,4.82E-08
150.016,3.97E-06,2.45E-07,4.81E-08,4.82E-08
152.016,3.98E-06,2.39E-07,4.82E-08,4.83E-08
154.016,4.00E-06,2.30E-07,4.78E-08,4.82E-08
156.016,3.99E-06,2.24E-07,4.74E-08,4.81E-08
158.016,3.98E-06,2.17E-07,4.76E-08,4.84E-08
160.016,3.99E-06,2.10E-07,4.74E-08,4.78E-08
162.016,3.99E-06,2.04E-07,4.80E-08,4.81E-08
164.016,3.99E-06,1.97E-07,4.73E-08,4.79E-08
166.016,3.99E-06,1.92E-07,4.69E-08,4.80E-08
168.016,4.00E-06,1.88E-07,4.71E-08,4.78E-08
170.016,4.00E-06,1.81E-07,4.73E-08,4.76E-08
172.016,4.00E-06,1.76E-07,4.75E-08,4.77E-08
174.016,4.02E-06,1.71E-07,4.74E-08,4.86E-08
176.016,4.03E-06,1.66E-07,4.73E-08,4.81E-08
178.016,4.04E-06,1.62E-07,4.69E-08,4.78E-08
180.016,4.02E-06,1.57E-07,4.74E-08,4.80E-08
182.016,4.03E-06,1.53E-07,4.72E-08,4.77E-08
184.016,4.00E-06,1.49E-07,4.71E-08,4.82E-08
186.016,4.02E-06,1.45E-07,4.68E-08,4.78E-08
188.016,4.05E-06,1.40E-07,4.68E-08,4.81E-08
190.016,4.04E-06,1.36E-07,4.66E-08,4.77E-08
192.016,4.02E-06,1.32E-07,4.68E-08,4.76E-08
194.016,4.03E-06,1.28E-07,4.68E-08,4.76E-08
196.016,4.02E-06,1.25E-07,4.69E-08,4.80E-08
198.016,4.02E-06,1.22E-07,4.68E-08,4.81E-08
200.016,4.04E-06,1.18E-07,4.68E-08,4.81E-08
202.016,4.02E-06,1.14E-07,4.72E-08,4.79E-08
204.016,4.04E-06,1.11E-07,4.66E-08,4.81E-08
206.016,4.00E-06,1.08E-07,4.62E-08,4.78E-08
208.016,4.01E-06,1.04E-07,4.62E-08,4.76E-08
210.016,4.03E-06,1.01E-07,4.64E-08,4.78E-08
212.016,4.02E-06,9.85E-08,4.63E-08,4.76E-08
214.016,4.04E-06,9.59E-08,4.65E-08,4.82E-08
216.016,4.04E-06,9.31E-08,4.66E-08,4.74E-08
218.016,4.03E-06,9.08E-08,4.63E-08,4.79E-08
220.016,4.02E-06,8.81E-08,4.61E-08,4.73E-08
222.016,4.03E-06,8.54E-08,4.65E-08,4.81E-08
224.016,4.03E-06,8.31E-08,4.58E-08,4.75E-08
226.016,4.01E-06,8.09E-08,4.68E-08,4.74E-08
228.016,4.04E-06,7.90E-08,4.58E-08,4.71E-08
