Oct 01, 2019  02:34:42 PM
Residual Gas Analyzer Software 
RGA Software Version, 3.005

Pressure vs Time Scan Setup:

Active channels in Scan, 4 
Units, Torr
Sample Period, 2.00, sec
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.78E-004 
Filament Current, 1.00, mAmps
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.78E-004 
Filament Current, 1.00, mAmps
Start time, Oct 01, 2019  02:34:42 PM 
Channel,  Mass(amu),     Name,                 Cal Factor,  Noise Floor, CEM Status

1         2              H2                    1.00         3            OFF
2         4              He                    1.00         3            OFF
3         32             O2                    1.00         3            OFF
4         28             N2                    1.00         3            OFF


Time(s)      Channel#1   Channel#2   Channel#3   Channel#4   

0.000,   1.40E-007,   5.94E-007,   2.88E-007,   1.45E-006,  
2.000,   4.69E-006,   1.55E-006,   3.08E-007,   1.26E-006,  
4.000,   4.99E-006,   1.59E-006,   3.12E-007,   8.37E-007,  
6.000,   4.75E-006,   7.63E-007,   1.21E-007,   1.59E-007,  
8.000,   4.85E-006,   7.27E-007,   1.21E-007,   1.55E-007,  
10.000,   4.89E-006,   6.98E-007,   1.20E-007,   1.53E-007,  
12.000,   4.99E-006,   6.67E-007,   1.20E-007,   1.52E-007,  
14.000,   5.11E-006,   6.48E-007,   1.19E-007,   1.49E-007,  
16.031,   5.19E-006,   6.21E-007,   1.19E-007,   1.50E-007,  
18.000,   5.25E-006,   5.94E-007,   1.20E-007,   1.49E-007,  
20.000,   5.29E-006,   5.73E-007,   1.19E-007,   1.47E-007,  
22.000,   5.33E-006,   5.53E-007,   1.18E-007,   1.46E-007,  
24.000,   5.40E-006,   5.30E-007,   1.19E-007,   1.47E-007,  
26.000,   5.43E-006,   5.07E-007,   1.18E-007,   1.45E-007,  
28.000,   5.44E-006,   4.88E-007,   1.18E-007,   1.45E-007,  
30.000,   5.50E-006,   4.71E-007,   1.17E-007,   1.44E-007,  
32.000,   5.52E-006,   4.54E-007,   1.17E-007,   1.44E-007,  
34.000,   5.56E-006,   4.34E-007,   1.17E-007,   1.44E-007,  
36.000,   5.59E-006,   4.19E-007,   1.17E-007,   1.43E-007,  
38.000,   5.56E-006,   4.02E-007,   1.17E-007,   1.43E-007,  
40.000,   5.60E-006,   3.87E-007,   1.17E-007,   1.42E-007,  
42.000,   5.62E-006,   3.72E-007,   1.16E-007,   1.42E-007,  
44.000,   5.64E-006,   3.60E-007,   1.16E-007,   1.42E-007,  
46.000,   5.66E-006,   3.48E-007,   1.15E-007,   1.42E-007,  
48.000,   5.68E-006,   3.35E-007,   1.16E-007,   1.41E-007,  
50.000,   5.69E-006,   3.24E-007,   1.15E-007,   1.42E-007,  
52.000,   5.69E-006,   3.14E-007,   1.15E-007,   1.40E-007,  
54.000,   5.72E-006,   3.02E-007,   1.15E-007,   1.42E-007,  
56.000,   5.70E-006,   2.93E-007,   1.14E-007,   1.41E-007,  
58.000,   5.74E-006,   2.83E-007,   1.15E-007,   1.40E-007,  
60.000,   5.75E-006,   2.74E-007,   1.14E-007,   1.40E-007,  
62.000,   5.76E-006,   2.64E-007,   1.14E-007,   1.41E-007,  
64.000,   5.74E-006,   2.55E-007,   1.15E-007,   1.40E-007,  
66.000,   5.77E-006,   2.48E-007,   1.14E-007,   1.40E-007,  
68.000,   5.82E-006,   2.39E-007,   1.14E-007,   1.40E-007,  
70.000,   5.76E-006,   2.32E-007,   1.13E-007,   1.41E-007,  
72.000,   5.77E-006,   2.24E-007,   1.14E-007,   1.40E-007,  
74.000,   5.77E-006,   2.17E-007,   1.13E-007,   1.40E-007,  
76.000,   5.83E-006,   2.10E-007,   1.12E-007,   1.40E-007,  
78.000,   5.81E-006,   2.03E-007,   1.12E-007,   1.40E-007,  
80.000,   5.82E-006,   1.96E-007,   1.13E-007,   1.40E-007,  
82.000,   5.80E-006,   1.89E-007,   1.13E-007,   1.40E-007,  
84.000,   5.82E-006,   1.84E-007,   1.13E-007,   1.41E-007,  
86.000,   5.81E-006,   1.79E-007,   1.13E-007,   1.40E-007,  
88.000,   5.82E-006,   1.73E-007,   1.12E-007,   1.40E-007,  
90.000,   5.82E-006,   1.67E-007,   1.11E-007,   1.41E-007,  
92.000,   5.85E-006,   1.61E-007,   1.12E-007,   1.40E-007,  
94.000,   5.80E-006,   1.58E-007,   1.12E-007,   1.45E-007,  
96.000,   5.86E-006,   1.53E-007,   1.12E-007,   1.40E-007,  
98.000,   5.80E-006,   1.48E-007,   1.12E-007,   1.40E-007,  
100.000,   5.84E-006,   1.44E-007,   1.11E-007,   1.40E-007,  
102.000,   5.84E-006,   1.39E-007,   1.12E-007,   1.41E-007,  
104.000,   5.85E-006,   1.36E-007,   1.11E-007,   1.41E-007,  
106.000,   5.85E-006,   1.32E-007,   1.11E-007,   1.40E-007,  
108.000,   5.82E-006,   1.26E-007,   1.10E-007,   1.40E-007,  
110.000,   5.86E-006,   1.23E-007,   1.11E-007,   1.39E-007,  
112.000,   5.85E-006,   1.19E-007,   1.11E-007,   1.40E-007,  
114.000,   5.88E-006,   1.16E-007,   1.11E-007,   1.40E-007,  
116.000,   5.85E-006,   1.12E-007,   1.11E-007,   1.40E-007,  
118.000,   5.84E-006,   1.09E-007,   1.10E-007,   1.39E-007,  
120.000,   5.86E-006,   1.05E-007,   1.10E-007,   1.41E-007,  
122.000,   5.86E-006,   1.02E-007,   1.10E-007,   1.40E-007,  
124.000,   5.86E-006,   9.93E-008,   1.10E-007,   1.40E-007,  
126.000,   5.88E-006,   9.62E-008,   1.09E-007,   1.40E-007,  
128.000,   5.88E-006,   9.40E-008,   1.10E-007,   1.39E-007,  
130.000,   5.87E-006,   9.09E-008,   1.10E-007,   1.40E-007,  
132.000,   5.88E-006,   8.81E-008,   1.09E-007,   1.39E-007,  
134.000,   5.88E-006,   8.58E-008,   1.10E-007,   1.40E-007,  
136.000,   5.88E-006,   8.23E-008,   1.09E-007,   1.40E-007,  
138.000,   5.90E-006,   8.12E-008,   1.09E-007,   1.40E-007,  
140.000,   5.87E-006,   7.80E-008,   1.09E-007,   1.40E-007,  
142.000,   5.88E-006,   7.63E-008,   1.09E-007,   1.40E-007,  
144.000,   5.90E-006,   7.40E-008,   1.09E-007,   1.40E-007,  
146.000,   5.86E-006,   7.25E-008,   1.09E-007,   1.40E-007,  
148.000,   5.85E-006,   7.04E-008,   1.09E-007,   1.40E-007,  
150.000,   5.91E-006,   6.88E-008,   1.09E-007,   1.40E-007,  
