Oct 01, 2019  02:39:57 PM
Residual Gas Analyzer Software 
RGA Software Version, 3.005

Pressure vs Time Scan Setup:

Active channels in Scan, 4 
Units, Torr
Sample Period, 2.00, sec
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.78E-004 
Filament Current, 1.00, mAmps
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.78E-004 
Filament Current, 1.00, mAmps
Start time, Oct 01, 2019  02:39:57 PM 
Channel,  Mass(amu),     Name,                 Cal Factor,  Noise Floor, CEM Status

1         2              H2                    1.00         3            OFF
2         4              He                    1.00         3            OFF
3         32             O2                    1.00         3            OFF
4         28             N2                    1.00         3            OFF


Time(s)      Channel#1   Channel#2   Channel#3   Channel#4   

0.000,   1.85E-008,   1.84E-006,   1.85E-006,   1.19E-005,  
2.000,   3.61E-006,   9.95E-006,   2.37E-006,   1.01E-005,  
4.000,   4.01E-006,   1.01E-005,   2.38E-006,   1.02E-005,  
6.000,   4.26E-006,   1.04E-005,   2.39E-006,   1.02E-005,  
8.000,   3.87E-006,   5.69E-006,   9.31E-008,   1.12E-007,  
10.000,   3.63E-006,   5.27E-006,   8.70E-008,   1.03E-007,  
12.000,   3.63E-006,   5.04E-006,   8.41E-008,   9.89E-008,  
14.000,   3.64E-006,   4.82E-006,   8.34E-008,   9.68E-008,  
16.000,   3.67E-006,   4.64E-006,   8.15E-008,   9.44E-008,  
18.000,   3.72E-006,   4.47E-006,   8.11E-008,   9.19E-008,  
20.047,   3.73E-006,   4.31E-006,   7.91E-008,   9.06E-008,  
22.000,   3.74E-006,   4.15E-006,   7.95E-008,   8.90E-008,  
24.000,   3.78E-006,   3.99E-006,   7.89E-008,   8.80E-008,  
26.000,   3.79E-006,   3.86E-006,   7.82E-008,   8.70E-008,  
28.000,   3.81E-006,   3.71E-006,   7.76E-008,   8.68E-008,  
30.000,   3.83E-006,   3.60E-006,   7.71E-008,   8.60E-008,  
32.000,   3.84E-006,   3.46E-006,   7.67E-008,   8.50E-008,  
34.016,   3.87E-006,   3.33E-006,   7.64E-008,   8.47E-008,  
36.016,   3.88E-006,   3.19E-006,   7.57E-008,   8.38E-008,  
38.016,   3.91E-006,   3.11E-006,   7.56E-008,   8.31E-008,  
40.016,   3.91E-006,   3.01E-006,   7.55E-008,   8.27E-008,  
42.016,   3.93E-006,   2.89E-006,   7.54E-008,   8.24E-008,  
44.016,   3.92E-006,   2.81E-006,   7.46E-008,   8.18E-008,  
46.016,   3.96E-006,   2.72E-006,   7.40E-008,   8.20E-008,  
48.016,   3.96E-006,   2.63E-006,   7.43E-008,   8.11E-008,  
50.016,   3.96E-006,   2.52E-006,   7.36E-008,   8.07E-008,  
52.016,   3.97E-006,   2.43E-006,   7.37E-008,   8.02E-008,  
54.016,   4.01E-006,   2.35E-006,   7.40E-008,   8.03E-008,  
56.016,   4.00E-006,   2.27E-006,   7.29E-008,   7.98E-008,  
58.000,   4.02E-006,   2.19E-006,   7.34E-008,   7.93E-008,  
60.016,   4.05E-006,   2.10E-006,   7.36E-008,   7.93E-008,  
62.016,   4.04E-006,   2.03E-006,   7.26E-008,   7.87E-008,  
64.016,   4.06E-006,   1.96E-006,   7.24E-008,   7.84E-008,  
66.016,   4.05E-006,   1.88E-006,   7.23E-008,   7.86E-008,  
68.000,   4.06E-006,   1.82E-006,   7.20E-008,   7.75E-008,  
70.016,   4.05E-006,   1.74E-006,   7.16E-008,   7.80E-008,  
72.016,   4.09E-006,   1.69E-006,   7.18E-008,   7.77E-008,  
74.016,   4.11E-006,   1.63E-006,   7.16E-008,   7.75E-008,  
76.016,   4.08E-006,   1.58E-006,   7.09E-008,   7.77E-008,  
78.000,   4.10E-006,   1.51E-006,   7.12E-008,   7.72E-008,  
80.000,   4.12E-006,   1.47E-006,   7.11E-008,   7.69E-008,  
82.016,   4.14E-006,   1.41E-006,   7.10E-008,   7.61E-008,  
84.016,   4.14E-006,   1.37E-006,   7.09E-008,   7.67E-008,  
86.016,   4.13E-006,   1.32E-006,   7.05E-008,   7.70E-008,  
88.016,   4.17E-006,   1.28E-006,   7.06E-008,   7.61E-008,  
90.000,   4.13E-006,   1.24E-006,   7.03E-008,   7.63E-008,  
92.000,   4.17E-006,   1.20E-006,   7.02E-008,   7.62E-008,  
94.016,   4.16E-006,   1.16E-006,   7.00E-008,   7.66E-008,  
96.016,   4.18E-006,   1.11E-006,   6.97E-008,   7.57E-008,  
98.016,   4.21E-006,   1.08E-006,   6.99E-008,   7.57E-008,  
100.016,   4.18E-006,   1.05E-006,   7.01E-008,   7.58E-008,  
102.000,   4.21E-006,   1.01E-006,   7.01E-008,   7.66E-008,  
104.016,   4.20E-006,   9.75E-007,   6.94E-008,   7.57E-008,  
106.000,   4.20E-006,   9.38E-007,   6.93E-008,   7.53E-008,  
108.016,   4.25E-006,   9.03E-007,   6.93E-008,   7.56E-008,  
110.016,   4.20E-006,   8.80E-007,   6.97E-008,   7.56E-008,  
112.000,   4.21E-006,   8.47E-007,   6.92E-008,   7.51E-008,  
114.000,   4.25E-006,   8.23E-007,   6.92E-008,   7.52E-008,  
116.000,   4.24E-006,   7.94E-007,   6.91E-008,   7.54E-008,  
118.000,   4.25E-006,   7.65E-007,   6.92E-008,   7.49E-008,  
120.016,   4.26E-006,   7.38E-007,   6.88E-008,   7.52E-008,  
122.000,   4.25E-006,   7.11E-007,   6.84E-008,   7.48E-008,  
124.000,   4.26E-006,   6.91E-007,   6.93E-008,   7.45E-008,  
126.016,   4.29E-006,   6.72E-007,   6.85E-008,   7.46E-008,  
128.000,   4.25E-006,   6.47E-007,   6.90E-008,   7.50E-008,  
130.000,   4.29E-006,   6.30E-007,   6.85E-008,   7.54E-008,  
132.016,   4.26E-006,   6.06E-007,   6.85E-008,   7.45E-008,  
134.000,   4.30E-006,   5.85E-007,   6.84E-008,   7.51E-008,  
136.016,   4.29E-006,   5.64E-007,   6.84E-008,   7.49E-008,  
138.000,   4.32E-006,   5.46E-007,   6.81E-008,   7.44E-008,  
140.016,   4.30E-006,   5.25E-007,   6.80E-008,   7.35E-008,  
142.016,   4.31E-006,   5.07E-007,   6.77E-008,   7.39E-008,  
144.000,   4.29E-006,   4.89E-007,   6.76E-008,   7.42E-008,  
146.016,   4.30E-006,   4.72E-007,   6.78E-008,   7.43E-008,  
148.016,   4.30E-006,   4.57E-007,   6.75E-008,   7.37E-008,  
150.000,   4.33E-006,   4.43E-007,   6.72E-008,   7.36E-008,  
