Oct 01, 2019  02:46:02 PM
Residual Gas Analyzer Software 
RGA Software Version, 3.005

Pressure vs Time Scan Setup:

Active channels in Scan, 4 
Units, Torr
Sample Period, 2.00, sec
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.78E-004 
Filament Current, 1.00, mAmps
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.78E-004 
Filament Current, 1.00, mAmps
Start time, Oct 01, 2019  02:46:02 PM 
Channel,  Mass(amu),     Name,                 Cal Factor,  Noise Floor, CEM Status

1         2              H2                    1.00         3            OFF
2         4              He                    1.00         3            OFF
3         32             O2                    1.00         3            OFF
4         28             N2                    1.00         3            OFF


Time(s)      Channel#1   Channel#2   Channel#3   Channel#4   

0.000,   7.30E-009,   8.22E-007,   3.65E-007,   2.41E-006,  
2.016,   2.84E-006,   5.18E-006,   4.39E-007,   1.97E-006,  
4.016,   2.70E-006,   3.19E-006,   5.34E-008,   5.74E-008,  
6.016,   2.75E-006,   3.05E-006,   5.33E-008,   5.64E-008,  
8.016,   2.85E-006,   2.94E-006,   5.27E-008,   5.48E-008,  
10.016,   2.95E-006,   2.83E-006,   5.32E-008,   5.42E-008,  
12.016,   3.03E-006,   2.73E-006,   5.33E-008,   5.36E-008,  
14.016,   3.08E-006,   2.62E-006,   5.33E-008,   5.28E-008,  
16.016,   3.15E-006,   2.52E-006,   5.33E-008,   5.28E-008,  
18.016,   3.21E-006,   2.42E-006,   5.27E-008,   5.26E-008,  
20.016,   3.28E-006,   2.33E-006,   5.30E-008,   5.23E-008,  
22.016,   3.32E-006,   2.24E-006,   5.32E-008,   5.26E-008,  
24.063,   3.36E-006,   2.16E-006,   5.29E-008,   5.24E-008,  
26.016,   3.40E-006,   2.08E-006,   5.27E-008,   5.19E-008,  
28.016,   3.44E-006,   2.01E-006,   5.30E-008,   5.16E-008,  
30.016,   3.47E-006,   1.93E-006,   5.24E-008,   5.14E-008,  
32.016,   3.51E-006,   1.86E-006,   5.26E-008,   5.14E-008,  
34.016,   3.54E-006,   1.79E-006,   5.21E-008,   5.08E-008,  
36.016,   3.57E-006,   1.72E-006,   5.22E-008,   5.09E-008,  
38.016,   3.60E-006,   1.66E-006,   5.19E-008,   5.05E-008,  
40.016,   3.61E-006,   1.60E-006,   5.21E-008,   5.08E-008,  
42.016,   3.63E-006,   1.54E-006,   5.18E-008,   4.99E-008,  
44.016,   3.67E-006,   1.48E-006,   5.20E-008,   5.00E-008,  
46.016,   3.68E-006,   1.43E-006,   5.20E-008,   5.06E-008,  
48.016,   3.68E-006,   1.38E-006,   5.13E-008,   5.01E-008,  
50.016,   3.70E-006,   1.34E-006,   5.17E-008,   5.07E-008,  
52.016,   3.72E-006,   1.29E-006,   5.14E-008,   5.00E-008,  
54.016,   3.75E-006,   1.25E-006,   5.13E-008,   4.99E-008,  
56.016,   3.73E-006,   1.21E-006,   5.09E-008,   4.96E-008,  
58.016,   3.76E-006,   1.17E-006,   5.09E-008,   4.94E-008,  
60.016,   3.77E-006,   1.12E-006,   5.10E-008,   4.99E-008,  
62.016,   3.79E-006,   1.08E-006,   5.10E-008,   4.96E-008,  
64.016,   3.78E-006,   1.05E-006,   5.08E-008,   4.93E-008,  
66.016,   3.80E-006,   1.01E-006,   5.09E-008,   4.94E-008,  
68.016,   3.81E-006,   9.78E-007,   5.04E-008,   4.92E-008,  
70.016,   3.82E-006,   9.44E-007,   5.09E-008,   4.90E-008,  
72.016,   3.82E-006,   9.07E-007,   5.03E-008,   4.92E-008,  
74.016,   3.81E-006,   8.80E-007,   4.98E-008,   4.91E-008,  
76.016,   3.84E-006,   8.52E-007,   4.99E-008,   4.92E-008,  
78.016,   3.85E-006,   8.21E-007,   4.98E-008,   4.88E-008,  
80.016,   3.85E-006,   7.88E-007,   4.97E-008,   4.88E-008,  
82.016,   3.86E-006,   7.63E-007,   5.00E-008,   4.87E-008,  
84.016,   3.86E-006,   7.39E-007,   4.98E-008,   4.86E-008,  
86.016,   3.86E-006,   7.17E-007,   4.95E-008,   4.89E-008,  
88.016,   3.88E-006,   6.88E-007,   4.94E-008,   4.88E-008,  
90.016,   3.88E-006,   6.69E-007,   4.96E-008,   4.89E-008,  
92.016,   3.92E-006,   6.47E-007,   4.92E-008,   4.85E-008,  
94.016,   3.89E-006,   6.24E-007,   4.91E-008,   4.91E-008,  
96.016,   3.90E-006,   6.01E-007,   4.94E-008,   4.87E-008,  
98.016,   3.90E-006,   5.82E-007,   4.90E-008,   4.84E-008,  
100.016,   3.91E-006,   5.65E-007,   4.95E-008,   4.84E-008,  
102.016,   3.91E-006,   5.46E-007,   4.90E-008,   4.89E-008,  
104.016,   3.91E-006,   5.23E-007,   4.90E-008,   4.87E-008,  
106.016,   3.92E-006,   5.08E-007,   4.84E-008,   4.86E-008,  
108.016,   3.92E-006,   4.89E-007,   4.90E-008,   4.84E-008,  
110.016,   3.92E-006,   4.73E-007,   4.90E-008,   4.87E-008,  
112.016,   3.93E-006,   4.59E-007,   4.91E-008,   4.84E-008,  
114.016,   3.96E-006,   4.39E-007,   4.91E-008,   4.86E-008,  
116.016,   3.96E-006,   4.23E-007,   4.83E-008,   4.85E-008,  
118.016,   3.95E-006,   4.06E-007,   4.83E-008,   4.82E-008,  
120.016,   3.94E-006,   3.95E-007,   4.86E-008,   4.83E-008,  
122.016,   3.95E-006,   3.80E-007,   4.89E-008,   4.86E-008,  
124.016,   3.95E-006,   3.69E-007,   4.83E-008,   4.84E-008,  
126.016,   3.96E-006,   3.56E-007,   4.80E-008,   4.82E-008,  
128.016,   3.96E-006,   3.44E-007,   4.81E-008,   4.85E-008,  
130.016,   3.98E-006,   3.35E-007,   4.83E-008,   4.85E-008,  
132.016,   3.97E-006,   3.24E-007,   4.81E-008,   4.84E-008,  
134.016,   3.98E-006,   3.15E-007,   4.85E-008,   4.82E-008,  
136.016,   3.97E-006,   3.05E-007,   4.78E-008,   4.82E-008,  
138.016,   3.97E-006,   2.95E-007,   4.77E-008,   4.83E-008,  
140.016,   3.98E-006,   2.86E-007,   4.79E-008,   4.83E-008,  
142.016,   3.98E-006,   2.79E-007,   4.77E-008,   4.81E-008,  
144.016,   3.98E-006,   2.69E-007,   4.79E-008,   4.78E-008,  
146.016,   3.99E-006,   2.62E-007,   4.78E-008,   4.82E-008,  
148.016,   4.00E-006,   2.54E-007,   4.80E-008,   4.82E-008,  
150.016,   3.97E-006,   2.45E-007,   4.81E-008,   4.82E-008,  
